Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
Synthetic_Patient1	1.64E-01	6.89E-02	6.78E-02	1.30E-01	2.64E-01	3.97E-02	7.72E-02	2.43E-01	1.39E-01	9.65E-02
Synthetic_Patient10	7.83E-02	8.78E-02	6.42E-02	1.26E-01	2.13E-02	1.67E-01	1.95E-01	1.37E-01	2.42E-01	7.75E-02
Synthetic_Patient2	2.03E-01	3.52E-02	1.46E-01	1.26E-01	1.36E-01	8.32E-02	8.22E-02	9.71E-02	1.46E-01	2.27E-01
Synthetic_Patient3	9.62E-02	2.32E-01	1.83E-01	9.67E-02	2.81E-02	8.00E-02	1.23E-01	8.93E-02	6.77E-02	2.22E-01
Synthetic_Patient4	2.05E-01	2.24E-01	0.00E+00	2.00E-01	8.94E-02	7.23E-02	2.67E-01	1.65E-01	1.16E-01	1.08E-01
Synthetic_Patient5	1.41E-01	1.85E-01	8.26E-02	1.68E-01	2.36E-02	1.36E-01	2.09E-01	2.01E-01	1.13E-01	1.28E-01
Synthetic_Patient6	9.31E-02	1.04E-01	1.14E-01	7.81E-02	1.22E-01	2.15E-01	5.52E-02	1.31E-01	1.43E-01	1.27E-01
Synthetic_Patient7	9.04E-02	3.55E-02	2.02E-01	2.38E-01	1.30E-01	7.81E-02	1.37E-01	1.04E-01	7.66E-02	1.92E-01
Synthetic_Patient8	2.32E-01	9.93E-02	7.94E-02	8.86E-02	1.39E-01	4.36E-02	1.20E-01	8.84E-02	1.47E-01	1.84E-01
Synthetic_Patient9	6.83E-02	1.43E-01	2.59E-01	3.65E-02	1.79E-01	1.25E-01	1.01E-01	1.93E-01	8.52E-02	2.62E-01
