MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	3.368671595893602e-06	3.228250644182751e-06	3.544076581107447e-06	3.4653221252272104e-06	3.4021139937561173e-06	3.510843195625668e-06	3.34530652039966e-06	3.4604261355832554e-06	3.671269474501644e-06	3.4304663990742943e-06
0:homdel:100kb-1Mb	3.376346413006104e-06	3.2231000983102832e-06	3.5469504317839908e-06	3.470103289268778e-06	3.3957440063634438e-06	3.5052927175041047e-06	3.3390894248679357e-06	3.462040357513685e-06	3.6752524645136816e-06	3.432262000731434e-06
0:homdel:>1Mb	3.360244490011155e-06	3.2281080940483876e-06	3.542527162405662e-06	3.464078872466914e-06	3.40848860112164e-06	3.50542677956156e-06	3.3462099402470358e-06	3.462681231163556e-06	3.6695797646133855e-06	3.4357862170466547e-06
1:LOH:0-100kb	0.015470658693813377	0.00042978930408251045	0.003283524587133935	0.005286181779252395	0.015172885335225981	0.023008981224547677	0.008045139725807672	0.014606869633846983	0.22432798999842604	0.008899762424000977
1:LOH:100kb-1Mb	3.365835349967483e-06	3.223837086585135e-06	3.5448580549619637e-06	3.4704212063267903e-06	3.3985489121599598e-06	3.5081475154630225e-06	3.3406533052229293e-06	3.467589398513285e-06	3.6729516403053894e-06	3.432670430148832e-06
1:LOH:1Mb-10Mb	0.03601482725565933	0.004435441461552475	0.04721902682645663	0.02946594768159158	0.3669195871116135	0.023795447112567338	0.011739775270025711	0.0461353945600393	0.013089180726054493	0.03509787149759719
1:LOH:10Mb-40Mb	0.039288131500123585	0.06464451141828609	0.5103331277891994	0.06933968101302002	0.06612826893453318	0.06248730491721206	0.02922527098224844	0.060001756738346075	0.07324408915043691	0.2778207021535209
1:LOH:>40Mb	0.05815216372915659	0.5316456126570701	0.06387533996065389	0.049013451330947144	0.04348892395592533	0.08531330978284922	0.15574292779113597	0.10081326396762577	0.05934003338611322	0.09585690006317252
2:LOH:0-100kb	3.369089534686509e-06	3.2262226708681397e-06	3.543659583655767e-06	3.468960257178466e-06	3.39934797096042e-06	3.506327345451865e-06	3.3355427130752346e-06	3.462296900977102e-06	3.677209084938692e-06	3.436171357285467e-06
2:LOH:100kb-1Mb	3.3599915799129576e-06	3.225441006064145e-06	3.546279023023402e-06	3.466818916308512e-06	3.39717586093613e-06	3.5084824931406188e-06	3.3470100611872056e-06	3.4613104493876475e-06	3.6698781779844447e-06	3.43895893426982e-06
2:LOH:1Mb-10Mb	3.369033056173976e-06	3.2217492946049474e-06	3.5483440103902808e-06	3.465679340736827e-06	3.4030843187888847e-06	3.50629218729992e-06	3.3426845808275374e-06	3.4650494047168723e-06	3.6669615274663794e-06	3.4324218119419214e-06
2:LOH:10Mb-40Mb	3.3700498114228595e-06	3.226700732712473e-06	3.54264533280535e-06	3.4695140237852585e-06	3.404818338198723e-06	3.5054878567866155e-06	3.3413615675552677e-06	3.4608999233845805e-06	3.6708301462186048e-06	3.4340881593198924e-06
2:LOH:>40Mb	3.3689459093011465e-06	3.2240739429134635e-06	3.5462340746761358e-06	3.4601655356087947e-06	3.4042967792977664e-06	3.5040549107332453e-06	3.3410696284725817e-06	3.4684255815195866e-06	3.6747772147038735e-06	3.437313063854752e-06
3-4:LOH:0-100kb	3.3638682209300443e-06	3.2274251616222214e-06	3.5428679712579126e-06	3.4680039465637692e-06	3.402452223553176e-06	3.5045884448230423e-06	3.3437564863874057e-06	3.465703893354426e-06	3.6793256423922823e-06	3.432243237478927e-06
3-4:LOH:100kb-1Mb	3.3683035953515627e-06	3.229335053426041e-06	3.54316069375038e-06	3.4664116605647168e-06	3.402044049078512e-06	3.5046708864445717e-06	3.341718170854602e-06	3.4633516615240818e-06	3.6747177185567012e-06	3.4332759610347095e-06
3-4:LOH:1Mb-10Mb	3.372289030522779e-06	3.22727765223263e-06	3.549189875151626e-06	3.465058659577025e-06	3.400213039034483e-06	3.5102592845497326e-06	3.343408089218514e-06	3.461920089453008e-06	3.6668427141249017e-06	3.4294747706393736e-06
