MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
0:homdel:0-100kb	1.70E-08	1.68E-08	2.10E-08	2.19E-08	2.14E-08	2.24E-08	2.46E-08	2.19E-08	2.41E-08	1.63E-08
0:homdel:100kb-1Mb	1.80E-08	1.67E-08	2.06E-08	2.15E-08	2.14E-08	2.22E-08	2.51E-08	2.19E-08	2.43E-08	1.64E-08
0:homdel:>1Mb	1.66E-08	1.66E-08	2.08E-08	2.19E-08	2.16E-08	2.23E-08	2.47E-08	2.16E-08	2.41E-08	1.63E-08
1:LOH:0-100kb	1.33E-03	2.61E-04	8.02E-04	1.04E-03	1.27E-03	1.75E-03	1.02E-03	1.45E-03	5.91E-03	9.85E-04
1:LOH:100kb-1Mb	1.68E-08	1.66E-08	2.05E-08	2.13E-08	2.12E-08	2.24E-08	2.47E-08	2.15E-08	2.42E-08	1.63E-08
1:LOH:1Mb-10Mb	2.12E-03	8.16E-04	2.73E-03	2.04E-03	5.70E-03	1.94E-03	1.37E-03	2.83E-03	1.49E-03	2.10E-03
1:LOH:10Mb-40Mb	2.31E-03	3.48E-03	6.04E-03	3.61E-03	3.21E-03	3.05E-03	2.21E-03	3.27E-03	3.02E-03	4.87E-03
1:LOH:>40Mb	2.92E-03	5.45E-03	3.23E-03	2.90E-03	2.53E-03	3.57E-03	4.90E-03	4.09E-03	2.97E-03	3.99E-03
2:LOH:0-100kb	1.75E-08	1.66E-08	2.05E-08	2.14E-08	2.15E-08	2.23E-08	2.48E-08	2.19E-08	2.41E-08	1.64E-08
2:LOH:100kb-1Mb	1.66E-08	1.65E-08	2.07E-08	2.18E-08	2.11E-08	2.23E-08	2.47E-08	2.20E-08	2.42E-08	1.62E-08
2:LOH:1Mb-10Mb	1.71E-08	1.68E-08	2.11E-08	2.19E-08	2.16E-08	2.23E-08	2.45E-08	2.19E-08	2.27E-08	1.63E-08
2:LOH:10Mb-40Mb	1.66E-08	1.68E-08	2.07E-08	2.18E-08	2.16E-08	2.24E-08	2.46E-08	2.16E-08	2.45E-08	1.62E-08
2:LOH:>40Mb	1.71E-08	1.66E-08	2.10E-08	2.13E-08	2.15E-08	2.22E-08	2.46E-08	2.20E-08	2.43E-08	1.63E-08
3-4:LOH:0-100kb	1.65E-08	1.65E-08	2.04E-08	2.12E-08	2.14E-08	2.23E-08	2.45E-08	2.19E-08	2.47E-08	1.61E-08
3-4:LOH:100kb-1Mb	1.72E-08	1.69E-08	2.11E-08	2.19E-08	2.10E-08	2.24E-08	2.46E-08	2.16E-08	2.49E-08	1.63E-08
3-4:LOH:1Mb-10Mb	1.69E-08	1.67E-08	2.13E-08	2.15E-08	2.15E-08	2.23E-08	2.47E-08	2.26E-08	2.39E-08	1.64E-08
3-4:LOH:10Mb-40Mb	1.69E-08	1.66E-08	2.10E-08	2.12E-08	2.14E-08	2.23E-08	2.46E-08	2.16E-08	2.44E-08	1.62E-08
3-4:LOH:>40Mb	1.70E-08	1.68E-08	2.06E-08	2.10E-08	2.16E-08	2.22E-08	2.47E-08	2.20E-08	2.43E-08	1.62E-08
