MutationType	CNV48A
0:homdel:0-100kb	3.424188903409231e-06
0:homdel:100kb-1Mb	3.424188906819836e-06
0:homdel:>1Mb	3.4241889045460992e-06
1:LOH:0-100kb	0.023766090040793643
1:LOH:100kb-1Mb	3.4241889038639785e-06
1:LOH:1Mb-10Mb	0.05870221078768373
1:LOH:10Mb-40Mb	0.12328157900273799
1:LOH:>40Mb	0.134779829390347
2:LOH:0-100kb	3.424188902044989e-06
2:LOH:100kb-1Mb	3.4241889045460992e-06
2:LOH:1Mb-10Mb	3.4241889043187255e-06
2:LOH:10Mb-40Mb	3.4241889081840782e-06
2:LOH:>40Mb	3.4241889022723625e-06
3-4:LOH:0-100kb	3.424188907729331e-06
3-4:LOH:100kb-1Mb	3.4241889031818574e-06
3-4:LOH:1Mb-10Mb	3.424188905455594e-06
3-4:LOH:10Mb-40Mb	3.424188905455594e-06
3-4:LOH:>40Mb	3.424188905682968e-06
5-8:LOH:0-100kb	3.424188905682968e-06
5-8:LOH:100kb-1Mb	3.4241889045460992e-06
5-8:LOH:1Mb-10Mb	3.424188906365089e-06
5-8:LOH:10Mb-40Mb	3.4241889072745834e-06
5-8:LOH:>40Mb	3.424188906819836e-06
9+:LOH:0-100kb	3.424188906365089e-06
9+:LOH:100kb-1Mb	3.424188904773473e-06
9+:LOH:1Mb-10Mb	3.424188904091352e-06
9+:LOH:10Mb-40Mb	3.4241889059103415e-06
9+:LOH:>40Mb	3.424188906819836e-06
2:het:0-100kb	0.003338365280482094
2:het:100kb-1Mb	3.4241889079567045e-06
2:het:1Mb-10Mb	0.04112606149818748
2:het:10Mb-40Mb	0.09527851529791952
2:het:>40Mb	0.1060610462911427
3-4:het:0-100kb	0.0241494072178607
3-4:het:100kb-1Mb	3.424188904773473e-06
3-4:het:1Mb-10Mb	0.03819144431874156
3-4:het:10Mb-40Mb	0.13284505814313888
3-4:het:>40Mb	0.21835712407529353
5-8:het:0-100kb	3.424188906819836e-06
5-8:het:100kb-1Mb	3.424188903409231e-06
5-8:het:1Mb-10Mb	3.4241889022723625e-06
5-8:het:10Mb-40Mb	3.4241889031818574e-06
5-8:het:>40Mb	3.424188903636605e-06
9+:het:0-100kb	3.4241889052282204e-06
9+:het:100kb-1Mb	3.4241889086388257e-06
9+:het:1Mb-10Mb	3.424188903409231e-06
9+:het:10Mb-40Mb	3.424188906819836e-06
9+:het:>40Mb	3.424188905455594e-06
