MutationType	CNV48A	CNV48B
0:homdel:0-100kb	3.4114212614895224e-06	3.4418818218000523e-06
0:homdel:100kb-1Mb	3.41142126194427e-06	3.4418818215726786e-06
0:homdel:>1Mb	3.4114212614895224e-06	3.4418818218000523e-06
1:LOH:0-100kb	0.022151688195590075	0.027867951203933306
1:LOH:100kb-1Mb	3.41142126194427e-06	3.4418818215726786e-06
1:LOH:1Mb-10Mb	0.027072453520636065	0.09592043648276764
1:LOH:10Mb-40Mb	0.12233543673721878	0.12817530089154822
1:LOH:>40Mb	0.19339563104812316	0.07273870661230325
2:LOH:0-100kb	3.41142126194427e-06	3.4418818215726786e-06
2:LOH:100kb-1Mb	3.41142126194427e-06	3.4418818215726786e-06
2:LOH:1Mb-10Mb	3.4114212614895224e-06	3.4418818218000523e-06
2:LOH:10Mb-40Mb	3.41142126194427e-06	3.4418818215726786e-06
2:LOH:>40Mb	3.4114212614895224e-06	3.4418818218000523e-06
3-4:LOH:0-100kb	3.41142126194427e-06	3.4418818215726786e-06
3-4:LOH:100kb-1Mb	3.4114212614895224e-06	3.4418818218000523e-06
3-4:LOH:1Mb-10Mb	3.41142126194427e-06	3.4418818215726786e-06
3-4:LOH:10Mb-40Mb	3.41142126194427e-06	3.4418818215726786e-06
3-4:LOH:>40Mb	3.4114212614895224e-06	3.4418818218000523e-06
5-8:LOH:0-100kb	3.4114212614895224e-06	3.4418818218000523e-06
5-8:LOH:100kb-1Mb	3.41142126194427e-06	3.4418818215726786e-06
5-8:LOH:1Mb-10Mb	3.41142126194427e-06	3.4418818215726786e-06
5-8:LOH:10Mb-40Mb	3.41142126194427e-06	3.4418818215726786e-06
5-8:LOH:>40Mb	3.4114212614895224e-06	3.4418818218000523e-06
9+:LOH:0-100kb	3.41142126194427e-06	3.4418818215726786e-06
9+:LOH:100kb-1Mb	3.4114212614895224e-06	3.4418818218000523e-06
9+:LOH:1Mb-10Mb	3.4114212614895224e-06	3.4418818218000523e-06
9+:LOH:10Mb-40Mb	3.4114212614895224e-06	3.4418818218000523e-06
9+:LOH:>40Mb	3.4114212614895224e-06	3.4418818218000523e-06
2:het:0-100kb	0.0036355913004801296	0.0035291033995465994
2:het:100kb-1Mb	3.41142126194427e-06	3.4418818215726786e-06
2:het:1Mb-10Mb	0.05733867819091116	0.024953358262330458
2:het:10Mb-40Mb	0.13307284441929923	0.062284934061776966
2:het:>40Mb	0.09982143323203502	0.11164255710724615
3-4:het:0-100kb	0.022017563201788465	0.026817577583417927
3-4:het:100kb-1Mb	3.41142126194427e-06	3.4418818215726786e-06
3-4:het:1Mb-10Mb	0.04897722272213405	0.028967667455117977
3-4:het:10Mb-40Mb	0.11920566458161098	0.13944990581244895
3-4:het:>40Mb	0.15085298621063384	0.2775286070183074
5-8:het:0-100kb	3.41142126194427e-06	3.4418818215726786e-06
5-8:het:100kb-1Mb	3.4114212614895224e-06	3.4418818218000523e-06
5-8:het:1Mb-10Mb	3.4114212614895224e-06	3.4418818218000523e-06
5-8:het:10Mb-40Mb	3.4114212614895224e-06	3.4418818218000523e-06
5-8:het:>40Mb	3.41142126194427e-06	3.4418818215726786e-06
9+:het:0-100kb	3.4114212614895224e-06	3.4418818218000523e-06
9+:het:100kb-1Mb	3.4114212614895224e-06	3.4418818218000523e-06
9+:het:1Mb-10Mb	3.4114212614895224e-06	3.4418818218000523e-06
9+:het:10Mb-40Mb	3.41142126194427e-06	3.4418818215726786e-06
9+:het:>40Mb	3.41142126194427e-06	3.4418818215726786e-06
