MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
0:homdel:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
0:homdel:>1Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
1:LOH:0-100kb	0.031891186529830876	0.029101762648645106	0.01788449504570054
1:LOH:100kb-1Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.3708327364365686e-06
1:LOH:1Mb-10Mb	0.11840565033081733	0.05704908237450849	0.01011108819304524
1:LOH:10Mb-40Mb	0.09158881599284788	0.23801509986945768	0.05237452750587347
1:LOH:>40Mb	0.049299936337344384	0.08972203134428791	0.2520443575164816
2:LOH:0-100kb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
2:LOH:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
2:LOH:1Mb-10Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
2:LOH:10Mb-40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
2:LOH:>40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
3-4:LOH:0-100kb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
3-4:LOH:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
3-4:LOH:1Mb-10Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.3708327364365686e-06
3-4:LOH:10Mb-40Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.3708327364365686e-06
3-4:LOH:>40Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
5-8:LOH:0-100kb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
5-8:LOH:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
5-8:LOH:1Mb-10Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
5-8:LOH:10Mb-40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
5-8:LOH:>40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
9+:LOH:0-100kb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
9+:LOH:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
9+:LOH:1Mb-10Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
9+:LOH:10Mb-40Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.3708327364365686e-06
9+:LOH:>40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
2:het:0-100kb	0.0026161605904315584	0.006747037957833825	0.0017681129218611957
2:het:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
2:het:1Mb-10Mb	0.017992930979181303	0.03692591635256445	0.0699100920162417
2:het:10Mb-40Mb	0.047148845359156075	0.15308996285393855	0.09894367089287844
2:het:>40Mb	0.12188119004049744	0.09635144852973221	0.09802987581745215
3-4:het:0-100kb	0.02673276248148914	0.027686242501454524	0.019954180163262232
3-4:het:100kb-1Mb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
3-4:het:1Mb-10Mb	0.02032493530823656	0.06754026499527857	0.031781983061864624
3-4:het:10Mb-40Mb	0.14551692077389794	0.08652107301790152	0.15570166934430352
3-4:het:>40Mb	0.326476639998228	0.11112510231644132	0.191374595044397
5-8:het:0-100kb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
5-8:het:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
5-8:het:1Mb-10Mb	3.4451745289061364e-06	3.4714916591838117e-06	3.370832736209195e-06
5-8:het:10Mb-40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
5-8:het:>40Mb	3.4451745289061364e-06	3.4714916591838117e-06	3.370832736209195e-06
9+:het:0-100kb	3.4451745289061364e-06	3.4714916594111854e-06	3.370832735527074e-06
9+:het:100kb-1Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
9+:het:1Mb-10Mb	3.4451745289061364e-06	3.4714916591838117e-06	3.370832736209195e-06
9+:het:10Mb-40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
9+:het:>40Mb	3.4451745289061364e-06	3.471491659638559e-06	3.370832735754448e-06
