MutationType	CNV48A	CNV48B	CNV48C
0:homdel:0-100kb	1.69E-09	1.87E-09	1.92E-09
0:homdel:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
0:homdel:>1Mb	1.69E-09	1.87E-09	1.92E-09
1:LOH:0-100kb	1.26E-03	1.34E-03	1.05E-03
1:LOH:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
1:LOH:1Mb-10Mb	2.72E-03	2.30E-03	8.62E-04
1:LOH:10Mb-40Mb	2.73E-03	4.11E-03	2.24E-03
1:LOH:>40Mb	1.87E-03	2.86E-03	3.39E-03
2:LOH:0-100kb	1.69E-09	1.87E-09	1.92E-09
2:LOH:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
2:LOH:1Mb-10Mb	1.69E-09	1.87E-09	1.92E-09
2:LOH:10Mb-40Mb	1.69E-09	1.87E-09	1.92E-09
2:LOH:>40Mb	1.69E-09	1.87E-09	1.92E-09
3-4:LOH:0-100kb	1.69E-09	1.87E-09	1.92E-09
3-4:LOH:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
3-4:LOH:1Mb-10Mb	1.69E-09	1.87E-09	1.92E-09
3-4:LOH:10Mb-40Mb	1.69E-09	1.87E-09	1.92E-09
3-4:LOH:>40Mb	1.69E-09	1.87E-09	1.92E-09
5-8:LOH:0-100kb	1.69E-09	1.87E-09	1.92E-09
5-8:LOH:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
5-8:LOH:1Mb-10Mb	1.69E-09	1.87E-09	1.92E-09
5-8:LOH:10Mb-40Mb	1.69E-09	1.87E-09	1.92E-09
5-8:LOH:>40Mb	1.69E-09	1.87E-09	1.92E-09
9+:LOH:0-100kb	1.69E-09	1.87E-09	1.92E-09
9+:LOH:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
9+:LOH:1Mb-10Mb	1.69E-09	1.87E-09	1.92E-09
9+:LOH:10Mb-40Mb	1.69E-09	1.87E-09	1.92E-09
9+:LOH:>40Mb	1.69E-09	1.87E-09	1.92E-09
2:het:0-100kb	2.42E-04	3.41E-04	1.89E-04
2:het:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
2:het:1Mb-10Mb	9.97E-04	1.59E-03	1.70E-03
2:het:10Mb-40Mb	1.90E-03	3.42E-03	2.65E-03
2:het:>40Mb	2.44E-03	2.32E-03	2.00E-03
3-4:het:0-100kb	1.03E-03	1.12E-03	8.72E-04
3-4:het:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
3-4:het:1Mb-10Mb	1.06E-03	1.75E-03	1.27E-03
3-4:het:10Mb-40Mb	3.08E-03	2.87E-03	2.92E-03
3-4:het:>40Mb	3.48E-03	2.71E-03	3.19E-03
5-8:het:0-100kb	1.69E-09	1.87E-09	1.92E-09
5-8:het:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
5-8:het:1Mb-10Mb	1.69E-09	1.87E-09	1.92E-09
5-8:het:10Mb-40Mb	1.69E-09	1.87E-09	1.92E-09
5-8:het:>40Mb	1.69E-09	1.87E-09	1.92E-09
9+:het:0-100kb	1.69E-09	1.87E-09	1.92E-09
9+:het:100kb-1Mb	1.69E-09	1.87E-09	1.92E-09
9+:het:1Mb-10Mb	1.69E-09	1.87E-09	1.92E-09
9+:het:10Mb-40Mb	1.69E-09	1.87E-09	1.92E-09
9+:het:>40Mb	1.69E-09	1.87E-09	1.92E-09
