MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
0:homdel:100kb-1Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
0:homdel:>1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
1:LOH:0-100kb	0.0297489136331454	0.009325541595992524	0.05903749945783142	0.011382147324650085
1:LOH:100kb-1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
1:LOH:1Mb-10Mb	0.12946264433855417	0.01014409102434146	0.03305345312847578	0.07049810900002249
1:LOH:10Mb-40Mb	0.06739010344353344	0.045438283971489045	0.07840720091353805	0.3216151739775232
1:LOH:>40Mb	0.048571216627292975	0.3071197257095082	0.0763864969650553	0.08336747973505772
2:LOH:0-100kb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
2:LOH:100kb-1Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
2:LOH:1Mb-10Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
2:LOH:10Mb-40Mb	3.4355402517576294e-06	3.334782487627308e-06	3.4983090799869387e-06	3.460063963530047e-06
2:LOH:>40Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
3-4:LOH:0-100kb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
3-4:LOH:100kb-1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
3-4:LOH:1Mb-10Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
3-4:LOH:10Mb-40Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
3-4:LOH:>40Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:LOH:0-100kb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:LOH:100kb-1Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:LOH:1Mb-10Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:LOH:10Mb-40Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:LOH:>40Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
9+:LOH:0-100kb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
9+:LOH:100kb-1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
9+:LOH:1Mb-10Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
9+:LOH:10Mb-40Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
9+:LOH:>40Mb	3.4355402517576294e-06	3.3347824871725604e-06	3.4983090802143124e-06	3.4600639637574206e-06
2:het:0-100kb	0.0017325640296480033	0.0017130119091898557	0.0026813312741086007	0.008782574531146281
2:het:100kb-1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
2:het:1Mb-10Mb	0.01414893287459924	0.06882892864105018	0.05847385927838868	0.03029918945019505
2:het:10Mb-40Mb	0.03130275761574206	0.07084089036039203	0.23458176088582486	0.07490146251825938
2:het:>40Mb	0.12252317453804547	0.09297976473787353	0.12047441279658694	0.0837086059276341
3-4:het:0-100kb	0.024282346663763048	0.021022704292835415	0.023208614846486175	0.03448384719825295
3-4:het:100kb-1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
3-4:het:1Mb-10Mb	0.0142957343238227	0.024538617234490637	0.07509810521398196	0.05046487232125853
3-4:het:10Mb-40Mb	0.13602224253711473	0.14340852683229643	0.134775224483957	0.10227088494898877
3-4:het:>40Mb	0.38039569154009223	0.20451987337203387	0.1036961069765047	0.12810109488883134
5-8:het:0-100kb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:het:100kb-1Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
5-8:het:1Mb-10Mb	3.435540252212377e-06	3.334782487399934e-06	3.4983090802143124e-06	3.4600639637574206e-06
