MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
0:homdel:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
0:homdel:>1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
1:LOH:0-100kb	1.26E-03	8.55E-04	2.16E-03	9.02E-04
1:LOH:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
1:LOH:1Mb-10Mb	3.34E-03	1.04E-03	2.24E-03	2.99E-03
1:LOH:10Mb-40Mb	2.43E-03	2.46E-03	2.65E-03	4.09E-03
1:LOH:>40Mb	1.91E-03	4.10E-03	2.60E-03	3.22E-03
2:LOH:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
2:LOH:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
2:LOH:1Mb-10Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
2:LOH:10Mb-40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
2:LOH:>40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
3-4:LOH:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
3-4:LOH:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
3-4:LOH:1Mb-10Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
3-4:LOH:10Mb-40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
3-4:LOH:>40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:LOH:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:LOH:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:LOH:1Mb-10Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:LOH:10Mb-40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:LOH:>40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:LOH:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:LOH:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:LOH:1Mb-10Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:LOH:10Mb-40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:LOH:>40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
2:het:0-100kb	2.24E-04	2.37E-04	2.73E-04	4.71E-04
2:het:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
2:het:1Mb-10Mb	1.15E-03	2.02E-03	2.55E-03	1.65E-03
2:het:10Mb-40Mb	1.49E-03	2.21E-03	4.39E-03	2.44E-03
2:het:>40Mb	2.83E-03	2.31E-03	3.26E-03	2.58E-03
3-4:het:0-100kb	1.19E-03	1.06E-03	1.35E-03	1.51E-03
3-4:het:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
3-4:het:1Mb-10Mb	9.59E-04	1.31E-03	2.33E-03	1.84E-03
3-4:het:10Mb-40Mb	3.12E-03	3.45E-03	4.13E-03	3.71E-03
3-4:het:>40Mb	4.10E-03	3.62E-03	3.02E-03	3.48E-03
5-8:het:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:het:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:het:1Mb-10Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:het:10Mb-40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
5-8:het:>40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:het:0-100kb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:het:100kb-1Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:het:1Mb-10Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:het:10Mb-40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
9+:het:>40Mb	2.02E-09	2.15E-09	2.60E-09	2.14E-09
