Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
Synthetic_Patient1	3.19E-01	1.56E-01	2.72E-01	2.03E-01	1.70E-01
Synthetic_Patient10	1.51E-01	2.06E-01	2.70E-01	1.26E-01	2.79E-01
Synthetic_Patient2	2.50E-01	9.59E-02	2.26E-01	2.28E-01	1.50E-01
Synthetic_Patient3	1.29E-01	2.74E-01	1.47E-01	2.54E-01	1.54E-01
Synthetic_Patient4	2.28E-01	3.29E-01	3.10E-01	3.51E-02	1.30E-01
Synthetic_Patient5	1.65E-01	2.68E-01	2.35E-01	1.40E-01	2.12E-01
Synthetic_Patient6	1.46E-01	1.47E-01	1.41E-01	1.91E-01	2.64E-01
Synthetic_Patient7	1.65E-01	1.17E-01	2.81E-01	2.61E-01	1.32E-01
Synthetic_Patient8	2.52E-01	1.92E-01	1.88E-01	1.68E-01	1.13E-01
Synthetic_Patient9	1.93E-01	2.03E-01	1.43E-01	2.88E-01	2.26E-01
