MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	3.4316331505124254e-06	3.305452501763284e-06	3.44812792650373e-06	3.4728453524621727e-06	3.51187695923727e-06
0:homdel:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.44812792650373e-06	3.472845352234799e-06	3.5118769590098965e-06
0:homdel:>1Mb	3.4316331505124254e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
1:LOH:0-100kb	0.033209687742014396	0.006122409612001201	0.029241384681878025	0.008525428844113243	0.06697771654039014
1:LOH:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453517800516e-06	3.5118769590098965e-06
1:LOH:1Mb-10Mb	0.1347427784125843	0.008805357217764516	0.052279960235519785	0.07182229498976489	0.0345110120941235
1:LOH:10Mb-40Mb	0.06241912268974702	0.050485384383221796	0.07602706043339925	0.37349334318842736	0.08052408281585495
1:LOH:>40Mb	0.048569383856784325	0.3640792143273223	0.055435742722283986	0.07839969018604061	0.0877889059783695
2:LOH:0-100kb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453526895464e-06	3.511876959464644e-06
2:LOH:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
2:LOH:1Mb-10Mb	3.431633150057678e-06	3.3054525015359105e-06	3.4481279267311037e-06	3.47284535291692e-06	3.51187695923727e-06
2:LOH:10Mb-40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.44812792650373e-06	3.4728453524621727e-06	3.51187695923727e-06
2:LOH:>40Mb	3.431633150057678e-06	3.3054525015359105e-06	3.4481279267311037e-06	3.47284535291692e-06	3.51187695923727e-06
3-4:LOH:0-100kb	3.4316331502850516e-06	3.305452501763284e-06	3.44812792650373e-06	3.4728453524621727e-06	3.51187695923727e-06
3-4:LOH:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
3-4:LOH:1Mb-10Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453524621727e-06	3.51187695923727e-06
3-4:LOH:10Mb-40Mb	3.431633150057678e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453524621727e-06	3.51187695923727e-06
3-4:LOH:>40Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453526895464e-06	3.511876959464644e-06
5-8:LOH:0-100kb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453524621727e-06	3.51187695923727e-06
5-8:LOH:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
5-8:LOH:1Mb-10Mb	3.4316331505124254e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
5-8:LOH:10Mb-40Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453524621727e-06	3.51187695923727e-06
5-8:LOH:>40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.44812792650373e-06	3.4728453524621727e-06	3.51187695923727e-06
9+:LOH:0-100kb	3.431633150057678e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453526895464e-06	3.511876959464644e-06
9+:LOH:100kb-1Mb	3.4316331505124254e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453517800516e-06	3.5118769590098965e-06
9+:LOH:1Mb-10Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279267311037e-06	3.472845353144294e-06	3.511876959464644e-06
9+:LOH:10Mb-40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
9+:LOH:>40Mb	3.431633150057678e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453526895464e-06	3.511876959464644e-06
2:het:0-100kb	0.0016965803353411783	0.0024665406009578986	0.0009131793321149105	0.011174837105118856	0.003397489047847884
2:het:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453517800516e-06	3.5118769590098965e-06
2:het:1Mb-10Mb	0.011357398890327872	0.06384061363344033	0.08015626280923467	0.02803157924104239	0.035149228787497225
2:het:10Mb-40Mb	0.026570214457501826	0.0640586273412124	0.0666994686756319	0.07234184511138506	0.29111819769666597
2:het:>40Mb	0.11829945782011206	0.09198774664907637	0.10984895470262722	0.08462231174378619	0.11944786924770567
3-4:het:0-100kb	0.02243924924980763	0.020955162350289054	0.041579381725944095	0.031190097687384857	0.016728042462605053
3-4:het:100kb-1Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453517800516e-06	3.5118769590098965e-06
3-4:het:1Mb-10Mb	0.015560578311493526	0.02179661778333793	0.024820067425374938	0.049624081094802874	0.09949135387395534
3-4:het:10Mb-40Mb	0.10108636870127959	0.11321162604899938	0.28311963434471454	0.07611826018966529	0.06944701140293619
3-4:het:>40Mb	0.42392564336769284	0.19207170226599912	0.17975476997937379	0.11453119899662885	0.09529266125977877
5-8:het:0-100kb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279267311037e-06	3.47284535291692e-06	3.51187695923727e-06
5-8:het:100kb-1Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453524621727e-06	3.51187695923727e-06
5-8:het:1Mb-10Mb	3.4316331505124254e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453517800516e-06	3.5118769590098965e-06
5-8:het:10Mb-40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453517800516e-06	3.5118769590098965e-06
5-8:het:>40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.4481279267311037e-06	3.4728453520074253e-06	3.51187695923727e-06
9+:het:0-100kb	3.4316331505124254e-06	3.305452501763284e-06	3.44812792650373e-06	3.4728453524621727e-06	3.51187695923727e-06
9+:het:100kb-1Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279267311037e-06	3.47284535291692e-06	3.51187695923727e-06
9+:het:1Mb-10Mb	3.4316331498303042e-06	3.3054525015359105e-06	3.4481279269584774e-06	3.4728453526895464e-06	3.511876959464644e-06
9+:het:10Mb-40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.44812792650373e-06	3.472845352234799e-06	3.5118769590098965e-06
9+:het:>40Mb	3.4316331502850516e-06	3.305452501763284e-06	3.44812792650373e-06	3.472845352234799e-06	3.5118769590098965e-06
