MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
0:homdel:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
0:homdel:>1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
1:LOH:0-100kb	1.64E-03	9.06E-04	2.04E-03	9.26E-04	2.61E-03
1:LOH:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
1:LOH:1Mb-10Mb	3.83E-03	1.26E-03	3.08E-03	3.29E-03	2.59E-03
1:LOH:10Mb-40Mb	2.49E-03	2.81E-03	3.30E-03	4.68E-03	2.80E-03
1:LOH:>40Mb	2.08E-03	4.40E-03	2.43E-03	3.35E-03	2.91E-03
2:LOH:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
2:LOH:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
2:LOH:1Mb-10Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
2:LOH:10Mb-40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
2:LOH:>40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
3-4:LOH:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
3-4:LOH:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
3-4:LOH:1Mb-10Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
3-4:LOH:10Mb-40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
3-4:LOH:>40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:LOH:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:LOH:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:LOH:1Mb-10Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:LOH:10Mb-40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:LOH:>40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:LOH:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:LOH:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:LOH:1Mb-10Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:LOH:10Mb-40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:LOH:>40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
2:het:0-100kb	2.28E-04	3.80E-04	2.11E-04	6.24E-04	3.91E-04
2:het:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
2:het:1Mb-10Mb	1.16E-03	2.39E-03	3.16E-03	1.71E-03	2.13E-03
2:het:10Mb-40Mb	1.37E-03	2.22E-03	2.47E-03	2.57E-03	4.37E-03
2:het:>40Mb	3.31E-03	2.69E-03	3.58E-03	2.82E-03	3.26E-03
3-4:het:0-100kb	1.41E-03	1.26E-03	2.07E-03	1.64E-03	1.24E-03
3-4:het:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
3-4:het:1Mb-10Mb	1.14E-03	1.31E-03	1.53E-03	2.04E-03	2.94E-03
3-4:het:10Mb-40Mb	2.71E-03	3.08E-03	4.35E-03	3.00E-03	2.57E-03
3-4:het:>40Mb	4.64E-03	3.94E-03	4.19E-03	3.58E-03	3.18E-03
5-8:het:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:het:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:het:1Mb-10Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:het:10Mb-40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
5-8:het:>40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:het:0-100kb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:het:100kb-1Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:het:1Mb-10Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:het:10Mb-40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
9+:het:>40Mb	2.59E-09	2.66E-09	3.07E-09	2.65E-09	2.96E-09
