Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
Synthetic_Patient1	2.65E-01	1.05E-01	1.71E-01	1.03E-01	7.44E-02	2.99E-01
Synthetic_Patient10	1.53E-01	1.81E-01	2.61E-01	1.22E-01	2.63E-01	1.64E-01
Synthetic_Patient2	2.53E-01	7.34E-02	1.79E-01	2.04E-01	1.29E-01	1.78E-01
Synthetic_Patient3	1.48E-01	2.68E-01	1.44E-01	2.42E-01	1.26E-01	8.56E-02
Synthetic_Patient4	2.68E-01	3.26E-01	2.84E-01	1.62E-02	9.56E-02	1.67E-01
Synthetic_Patient5	1.87E-01	2.56E-01	2.32E-01	1.25E-01	1.89E-01	1.61E-01
Synthetic_Patient6	1.40E-01	1.37E-01	1.09E-01	1.67E-01	2.52E-01	1.72E-01
Synthetic_Patient7	1.69E-01	7.64E-02	2.70E-01	2.54E-01	1.20E-01	1.66E-01
Synthetic_Patient8	2.47E-01	1.61E-01	1.44E-01	1.36E-01	8.49E-02	1.69E-01
Synthetic_Patient9	1.19E-01	1.88E-01	8.16E-02	2.87E-01	1.90E-01	2.57E-01
