MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	3.4091470711246073e-06	3.288432831823229e-06	3.4512819051997213e-06	3.48059905604714e-06	3.530996116978713e-06	3.4618734282503283e-06
0:homdel:100kb-1Mb	3.4091470708972336e-06	3.288432831823229e-06	3.4512819051997213e-06	3.480599056729261e-06	3.530996116978713e-06	3.4618734282503283e-06
0:homdel:>1Mb	3.4091470711246073e-06	3.288432832732724e-06	3.4512819051997213e-06	3.48059905604714e-06	3.5309961165239657e-06	3.4618734280229546e-06
1:LOH:0-100kb	0.03416286720779972	0.0068798752904683	0.026832681217902457	0.009711408585315573	0.07241040571149432	0.02909246531580844
1:LOH:100kb-1Mb	3.4091470708972336e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.480599056729261e-06	3.5309961165239657e-06	3.4618734282503283e-06
1:LOH:1Mb-10Mb	0.05472438669684293	0.0042606180647018575	0.02402108609059121	0.04291181540273162	0.018946720255085175	0.2203647743677262
1:LOH:10Mb-40Mb	0.06999847313792293	0.05561180217844956	0.06706031981456967	0.4219073008955456	0.07598885560458876	0.08383671732649921
1:LOH:>40Mb	0.061569272311070296	0.40420623788796367	0.06086087763982212	0.08189735348842783	0.08173143916146461	0.06082601425125439
2:LOH:0-100kb	3.4091470711246073e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.48059905604714e-06	3.5309961165239657e-06	3.4618734282503283e-06
2:LOH:100kb-1Mb	3.4091470711246073e-06	3.288432831823229e-06	3.4512819051997213e-06	3.48059905604714e-06	3.530996116978713e-06	3.4618734282503283e-06
2:LOH:1Mb-10Mb	3.4091470708972336e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.480599056729261e-06	3.5309961165239657e-06	3.4618734282503283e-06
2:LOH:10Mb-40Mb	3.4091470706698603e-06	3.288432832732724e-06	3.4512819058818424e-06	3.4805990562745138e-06	3.530996116296592e-06	3.461873427795581e-06
2:LOH:>40Mb	3.4091470711246073e-06	3.2884328325053503e-06	3.451281904744974e-06	3.4805990565018875e-06	3.530996116296592e-06	3.4618734266587128e-06
3-4:LOH:0-100kb	3.4091470708972336e-06	3.288432831823229e-06	3.451281904744974e-06	3.4805990571840082e-06	3.5309961167513394e-06	3.4618734273408335e-06
3-4:LOH:100kb-1Mb	3.4091470708972336e-06	3.288432832050603e-06	3.4512819058818424e-06	3.4805990555923926e-06	3.5309961167513394e-06	3.461873428477702e-06
3-4:LOH:1Mb-10Mb	3.4091470711246073e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.48059905604714e-06	3.5309961165239657e-06	3.4618734282503283e-06
3-4:LOH:10Mb-40Mb	3.4091470711246073e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.48059905604714e-06	3.5309961165239657e-06	3.461873427568207e-06
3-4:LOH:>40Mb	3.4091470708972336e-06	3.288432831823229e-06	3.4512819051997213e-06	3.480599056729261e-06	3.530996116978713e-06	3.4618734282503283e-06
5-8:LOH:0-100kb	3.4091470711246073e-06	3.2884328325053503e-06	3.451281904744974e-06	3.4805990565018875e-06	3.530996116296592e-06	3.4618734273408335e-06
5-8:LOH:100kb-1Mb	3.4091470711246073e-06	3.288432831823229e-06	3.451281904744974e-06	3.4805990565018875e-06	3.5309961167513394e-06	3.4618734266587128e-06
5-8:LOH:1Mb-10Mb	3.4091470708972336e-06	3.2884328325053503e-06	3.451281904744974e-06	3.4805990571840082e-06	3.530996116296592e-06	3.4618734273408335e-06
5-8:LOH:10Mb-40Mb	3.4091470708972336e-06	3.288432832050603e-06	3.4512819058818424e-06	3.4805990555923926e-06	3.5309961167513394e-06	3.461873427795581e-06
5-8:LOH:>40Mb	3.4091470711246073e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.48059905604714e-06	3.5309961165239657e-06	3.461873427568207e-06
9+:LOH:0-100kb	3.4091470711246073e-06	3.288432831823229e-06	3.451281905427095e-06	3.480599055365019e-06	3.530996116978713e-06	3.461873427568207e-06
9+:LOH:100kb-1Mb	3.4091470711246073e-06	3.288432831823229e-06	3.451281904744974e-06	3.4805990565018875e-06	3.5309961167513394e-06	3.4618734273408335e-06
9+:LOH:1Mb-10Mb	3.4091470711246073e-06	3.2884328325053503e-06	3.451281904744974e-06	3.4805990565018875e-06	3.530996116296592e-06	3.4618734273408335e-06
9+:LOH:10Mb-40Mb	3.4091470711246073e-06	3.288432831823229e-06	3.4512819051997213e-06	3.48059905604714e-06	3.530996116978713e-06	3.4618734282503283e-06
9+:LOH:>40Mb	3.4091470711246073e-06	3.288432831823229e-06	3.4512819051997213e-06	3.48059905604714e-06	3.530996116978713e-06	3.4618734282503283e-06
2:het:0-100kb	0.000983771155304928	0.002326449205472713	0.0004333380059313186	0.011033232696142647	0.0027442480185645214	0.0070343380399821845
2:het:100kb-1Mb	3.4091470708972336e-06	3.288432832050603e-06	3.4512819058818424e-06	3.4805990555923926e-06	3.5309961167513394e-06	3.461873427795581e-06
2:het:1Mb-10Mb	0.02120195862652485	0.05200328320034906	0.11364500218166594	0.031159727824030498	0.03326125700103444	0.012411762478306006
2:het:10Mb-40Mb	0.03102066437748357	0.06427947750765657	0.07617863937396227	0.07310950726121912	0.3304497690029494	0.049409972742578245
2:het:>40Mb	0.06574386097205279	0.08796829551117863	0.08842751838775195	0.06722134762073835	0.09945416757147868	0.21849194429220326
3-4:het:0-100kb	0.037837705951441404	0.0180892068006641	0.04451171406147138	0.034816945776893635	0.019385188470480215	0.00888085705783248
3-4:het:100kb-1Mb	3.4091470708972336e-06	3.2884328325053503e-06	3.451281904744974e-06	3.4805990571840082e-06	3.530996116296592e-06	3.4618734273408335e-06
3-4:het:1Mb-10Mb	0.02767324426876426	0.025297495494810134	0.02798349708335175	0.049153084500242375	0.11284387551528201	0.01201684287615127
3-4:het:10Mb-40Mb	0.11126467656937719	0.10113068689158396	0.32190065163181353	0.07521809127830678	0.07037353756243737	0.09179167176302004
3-4:het:>40Mb	0.4836964023783803	0.1778281982434906	0.14802040851486	0.1017348821858519	0.08228342646929836	0.20571800869102572
5-8:het:0-100kb	3.4091470708972336e-06	3.2884328325053503e-06	3.4512819051997213e-06	3.480599056729261e-06	3.5309961165239657e-06	3.4618734282503283e-06
5-8:het:100kb-1Mb	3.4091470711246073e-06	3.2884328325053503e-06	3.451281904744974e-06	3.4805990565018875e-06	3.530996116296592e-06	3.4618734266587128e-06
