MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
0:homdel:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
0:homdel:>1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
1:LOH:0-100kb	1.96E-03	1.16E-03	2.27E-03	1.46E-03	3.12E-03	1.89E-03
1:LOH:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
1:LOH:1Mb-10Mb	2.51E-03	6.92E-04	1.86E-03	2.48E-03	1.74E-03	4.83E-03
1:LOH:10Mb-40Mb	2.96E-03	3.12E-03	3.26E-03	5.06E-03	2.86E-03	3.26E-03
1:LOH:>40Mb	2.81E-03	4.52E-03	2.76E-03	3.50E-03	2.99E-03	2.55E-03
2:LOH:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
2:LOH:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
2:LOH:1Mb-10Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
2:LOH:10Mb-40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
2:LOH:>40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
3-4:LOH:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
3-4:LOH:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
3-4:LOH:1Mb-10Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
3-4:LOH:10Mb-40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
3-4:LOH:>40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:LOH:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:LOH:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:LOH:1Mb-10Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:LOH:10Mb-40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:LOH:>40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:LOH:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:LOH:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:LOH:1Mb-10Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:LOH:10Mb-40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:LOH:>40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
2:het:0-100kb	2.75E-04	3.30E-04	1.44E-04	6.85E-04	3.67E-04	6.43E-04
2:het:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
2:het:1Mb-10Mb	1.69E-03	2.26E-03	3.74E-03	2.04E-03	2.29E-03	1.27E-03
2:het:10Mb-40Mb	1.63E-03	2.37E-03	2.75E-03	2.76E-03	4.43E-03	2.32E-03
2:het:>40Mb	2.54E-03	2.79E-03	3.08E-03	2.48E-03	2.99E-03	4.24E-03
3-4:het:0-100kb	2.01E-03	1.18E-03	2.34E-03	1.92E-03	1.48E-03	1.12E-03
3-4:het:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
3-4:het:1Mb-10Mb	1.72E-03	1.62E-03	1.84E-03	2.26E-03	3.39E-03	1.29E-03
3-4:het:10Mb-40Mb	3.15E-03	3.12E-03	4.92E-03	3.25E-03	2.70E-03	2.97E-03
3-4:het:>40Mb	4.55E-03	3.96E-03	4.07E-03	3.42E-03	2.93E-03	4.28E-03
5-8:het:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:het:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:het:1Mb-10Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:het:10Mb-40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
5-8:het:>40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:het:0-100kb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:het:100kb-1Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:het:1Mb-10Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:het:10Mb-40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
9+:het:>40Mb	3.47E-09	3.32E-09	3.92E-09	3.44E-09	4.00E-09	3.10E-09
