NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	6.365	21.898	2.649	21.203	0.055	0.974	6000.0
2	5.972	20.541	2.721	20.573	0.052	0.974	6000.0
3	5.72	19.52	2.31	19.415	0.046	0.978	6000.0
4	6.716	22.981	2.807	22.297	0.07	0.97	6000.0
5	5.212	17.964	2.063	17.374	0.053	0.978	6000.0
6	6.842	23.456	2.959	23.333	0.072	0.961	6000.0
7	5.85	19.995	2.81	21.894	0.044	0.97	7000.0
8	5.07	17.31	2.236	17.283	0.036	0.981	6000.0
9	6.225	21.344	2.851	22.803	0.046	0.965	6000.0
10	6.07	20.84	2.498	18.846	0.06	0.98	11000.0
11	6.084	20.771	2.667	22.05	0.053	0.968	6000.0
12	6.261	21.452	2.697	21.347	0.047	0.974	6000.0
13	5.426	18.606	2.149	16.87	0.043	0.985	7000.0
14	5.487	18.877	2.308	18.964	0.041	0.975	6000.0
15	5.579	19.061	2.412	18.661	0.045	0.979	6000.0
16	5.152	17.609	2.16	17.169	0.049	0.982	6000.0
17	5.842	20.082	2.358	19.433	0.051	0.972	6000.0
18	5.256	18.014	2.115	17.301	0.038	0.982	6000.0
19	6.203	21.365	2.469	20.274	0.058	0.973	6000.0
20	5.67	19.462	2.511	20.078	0.047	0.974	6000.0
21	6.478	22.168	2.791	23.062	0.066	0.966	6000.0
22	5.722	19.531	2.424	19.605	0.058	0.976	6000.0
23	5.845	20.044	2.373	18.988	0.059	0.978	6000.0
24	6.069	20.787	2.561	21.376	0.049	0.972	6000.0
25	5.489	18.946	2.365	19.911	0.047	0.972	6000.0
26	6.695	22.88	2.957	23.322	0.053	0.967	6000.0
27	6.305	21.578	2.714	21.694	0.053	0.971	6000.0
28	5.682	19.441	2.59	20.691	0.046	0.975	6000.0
29	5.175	17.763	2.144	17.342	0.042	0.98	6000.0
30	6.593	22.577	2.64	21.008	0.061	0.972	6000.0
31	4.663	16.048	2.062	16.925	0.037	0.982	6000.0
32	5.806	19.864	2.533	20.548	0.046	0.972	6000.0
33	5.515	18.914	2.259	17.888	0.051	0.982	6000.0
34	5.458	18.702	2.282	18.75	0.045	0.98	6000.0
35	5.81	19.862	2.455	20.324	0.059	0.971	9000.0
36	5.115	17.502	2.267	17.202	0.046	0.981	6000.0
37	7.5	25.653	3.336	26.226	0.073	0.96	6000.0
38	5.3	18.12	2.18	17.276	0.041	0.982	6000.0
39	5.181	17.709	2.033	17.175	0.048	0.982	6000.0
40	5.269	18.068	2.246	17.4	0.037	0.976	6000.0
41	6.587	22.552	2.949	23.551	0.051	0.967	6000.0
42	6.531	22.405	2.786	22.508	0.064	0.967	6000.0
43	5.95	20.355	2.402	19.167	0.062	0.978	6000.0
44	6.762	23.129	2.928	22.436	0.07	0.969	6000.0
45	4.576	15.71	2.007	15.381	0.034	0.986	6000.0
46	4.831	16.57	2.225	17.614	0.043	0.978	6000.0
47	6.988	23.946	3.046	24.528	0.065	0.964	6000.0
48	5.444	18.865	2.186	18.36	0.066	0.97	6000.0
49	4.359	14.866	1.828	13.895	0.037	0.987	6000.0
50	5.649	19.289	2.285	17.886	0.05	0.981	6000.0
51	5.17	17.725	2.219	18.008	0.045	0.981	6000.0
52	7.031	24.037	3.214	25.549	0.065	0.957	6000.0
53	5.214	17.968	2.158	17.854	0.043	0.98	6000.0
54	5.597	19.229	2.525	20.451	0.036	0.973	6000.0
55	4.814	16.489	2.197	18.007	0.034	0.979	6000.0
56	5.936	20.361	2.674	21.345	0.055	0.969	6000.0
57	6.07	20.818	2.782	21.065	0.053	0.973	6000.0
58	6.463	22.161	2.77	22.483	0.053	0.966	6000.0
59	5.469	18.807	2.34	19.398	0.048	0.978	10000.0
60	5.765	19.75	2.339	18.838	0.056	0.974	6000.0
61	4.847	16.706	2.05	16.355	0.056	0.985	7000.0
62	6.062	20.837	2.456	20.434	0.039	0.973	6000.0
63	6.636	22.653	2.628	21.728	0.058	0.965	6000.0
64	5.398	18.508	2.305	18.83	0.053	0.978	6000.0
65	7.606	26.127	3.034	24.389	0.079	0.959	6000.0
66	5.611	19.113	2.42	18.981	0.05	0.974	6000.0
67	5.302	18.208	2.145	17.806	0.054	0.979	6000.0
68	5.734	19.664	2.596	21.582	0.039	0.965	6000.0
69	5.468	18.661	2.479	19.761	0.048	0.975	6000.0
70	4.653	16.01	2.157	16.214	0.041	0.982	6000.0
71	4.962	17.005	2.114	17.075	0.043	0.982	6000.0
72	5.56	19.071	2.291	19.141	0.048	0.977	6000.0
73	4.784	16.339	2.23	17.137	0.036	0.98	6000.0
74	6.202	21.225	2.695	21.414	0.055	0.969	6000.0
75	6.237	21.357	2.484	20.187	0.068	0.974	6000.0
76	5.961	20.345	2.52	20.109	0.062	0.974	6000.0
77	4.749	16.211	2.098	16.659	0.04	0.983	9000.0
78	6.771	23.127	2.735	21.902	0.074	0.965	6000.0
79	6.16	21.093	2.474	21.022	0.055	0.97	6000.0
80	7.027	23.95	3.017	23.166	0.072	0.966	6000.0
81	6.192	21.242	2.641	21.583	0.044	0.973	6000.0
82	5.831	19.908	2.453	20.092	0.052	0.976	6000.0
83	5.661	19.381	2.333	19.467	0.045	0.974	6000.0
84	6.579	22.442	2.859	22.036	0.073	0.97	6000.0
85	4.844	16.646	2.135	17.471	0.033	0.981	6000.0
86	5.72	19.687	2.368	18.958	0.065	0.976	6000.0
87	5.238	17.963	2.088	17.463	0.051	0.98	6000.0
88	5.134	17.605	2.229	18.704	0.038	0.973	6000.0
89	6.105	20.99	2.49	20.065	0.052	0.974	6000.0
90	5.882	19.954	2.552	20.514	0.041	0.97	6000.0
91	4.512	15.517	1.935	15.505	0.051	0.983	6000.0
92	5.152	17.679	2.153	17.388	0.039	0.982	10000.0
93	5.86	20.125	2.487	20.692	0.048	0.975	6000.0
94	5.945	20.399	2.631	21.791	0.054	0.966	7000.0
95	5.67	19.395	2.456	19.357	0.052	0.971	6000.0
96	6.249	21.492	2.507	20.638	0.056	0.972	6000.0
97	6.324	21.504	2.56	20.714	0.058	0.971	6000.0
98	5.701	19.604	2.267	19.129	0.054	0.977	6000.0
99	5.53	18.994	2.501	20.261	0.043	0.977	6000.0
100	5.184	17.802	2.097	17.484	0.032	0.98	6000.0
101	6.339	21.666	2.56	21.095	0.053	0.972	6000.0
102	4.92	16.9	1.999	16.853	0.036	0.979	6000.0
103	6.99	23.856	2.889	22.694	0.065	0.97	6000.0
104	6.24	21.385	2.632	21.778	0.048	0.972	6000.0
105	6.706	22.849	2.756	23.154	0.049	0.965	6000.0
106	5.389	18.522	2.262	18.548	0.047	0.978	6000.0
107	7.217	24.817	2.804	23.708	0.07	0.966	6000.0
108	6.31	21.695	2.762	21.778	0.059	0.973	6000.0
109	5.758	19.687	2.361	18.725	0.048	0.98	6000.0
110	6.766	23.205	2.678	21.283	0.064	0.973	6000.0
111	6.196	21.309	2.748	22.536	0.056	0.969	6000.0
112	5.873	20.075	2.552	20.597	0.046	0.97	7000.0
113	6.322	21.609	2.55	20.226	0.064	0.975	6000.0
114	5.98	20.536	2.498	20.012	0.052	0.974	6000.0
115	7.623	26.063	3.472	27.445	0.079	0.948	6000.0
116	6.124	20.848	2.63	21.328	0.053	0.968	6000.0
117	5.681	19.393	2.434	18.555	0.055	0.979	6000.0
118	4.922	16.896	2.038	17.202	0.035	0.981	6000.0
119	6.116	20.844	2.719	21.623	0.06	0.969	6000.0
120	6.195	21.207	2.755	22.209	0.055	0.971	6000.0
121	6.05	20.804	2.551	21.281	0.046	0.971	6000.0
122	5.281	18.05	2.258	18.03	0.048	0.975	6000.0
123	5.281	17.996	2.368	19.598	0.042	0.976	6000.0
124	5.238	18.016	2.28	17.897	0.048	0.98	6000.0
125	5.116	17.553	2.252	18.012	0.056	0.979	6000.0
126	6.643	22.772	2.807	22.041	0.062	0.973	6000.0
127	5.525	18.909	2.401	19.053	0.049	0.976	6000.0
128	6.37	21.843	2.625	19.666	0.058	0.977	6000.0
129	5.173	17.747	2.084	16.532	0.041	0.983	6000.0
130	4.831	16.587	2.02	15.942	0.039	0.984	6000.0
131	5.917	20.225	2.674	20.881	0.043	0.975	6000.0
132	6.358	21.814	2.711	21.685	0.059	0.965	6000.0
133	6.686	22.841	2.908	23.44	0.056	0.963	6000.0
134	4.664	15.956	1.994	15.75	0.054	0.984	10000.0
135	4.84	16.621	2.011	16.996	0.037	0.978	6000.0
136	6.561	22.507	2.767	22.245	0.072	0.97	6000.0
137	5.565	19.07	2.26	17.859	0.049	0.982	8000.0
138	5.811	19.93	2.637	21.602	0.042	0.972	6000.0
139	6.12	21.012	2.739	21.626	0.058	0.972	6000.0
140	4.661	16.046	1.905	14.636	0.041	0.985	6000.0
141	4.348	14.94	1.878	14.225	0.037	0.988	6000.0
142	6.058	20.85	2.626	21.026	0.054	0.972	6000.0
143	5.039	17.198	2.183	16.844	0.044	0.981	6000.0
144	5.212	17.968	2.168	17.334	0.043	0.978	6000.0
145	6.326	21.722	2.573	20.868	0.051	0.977	6000.0
146	6.392	21.935	2.685	20.696	0.064	0.972	6000.0
147	7.238	24.928	3.101	24.255	0.075	0.962	6000.0
148	5.898	20.216	2.523	20.067	0.051	0.976	6000.0
149	5.903	20.194	2.392	19.535	0.054	0.977	6000.0
150	6.801	23.363	2.808	22.666	0.074	0.966	6000.0
151	6.553	22.332	2.731	22.145	0.052	0.969	6000.0
152	5.883	20.167	2.45	19.926	0.051	0.973	6000.0
153	4.649	15.883	1.987	16.709	0.038	0.982	6000.0
154	5.595	19.145	2.282	18.672	0.045	0.976	6000.0
155	4.295	14.75	1.767	14.214	0.033	0.987	6000.0
156	5.033	17.286	2.092	16.542	0.044	0.982	6000.0
157	4.533	15.558	1.872	14.75	0.037	0.988	9000.0
158	5.609	19.137	2.38	19.25	0.041	0.978	6000.0
159	6.356	21.796	2.602	21.294	0.054	0.967	6000.0
160	5.202	17.837	2.052	17.711	0.054	0.978	6000.0
161	6.092	20.957	2.448	19.561	0.059	0.977	6000.0
162	4.793	16.437	2.025	15.641	0.048	0.987	6000.0
163	7.139	24.417	3.082	24.344	0.064	0.966	6000.0
164	5.339	18.266	2.271	18.145	0.045	0.978	6000.0
165	5.973	20.399	2.613	21.372	0.058	0.97	6000.0
166	4.708	16.161	1.949	16.539	0.032	0.982	6000.0
167	5.168	17.637	2.099	16.309	0.043	0.981	6000.0
