Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
Synthetic_Patient1	9.13E-02	2.25E-01	1.37E-01	8.03E-02	2.80E-01	6.73E-02	1.63E-01
Synthetic_Patient10	1.33E-01	1.41E-01	2.11E-01	1.02E-01	7.32E-02	2.44E-01	2.77E-01
Synthetic_Patient2	5.84E-02	2.48E-01	1.69E-01	2.00E-01	1.70E-01	1.12E-01	1.48E-01
Synthetic_Patient3	2.57E-01	1.24E-01	1.34E-01	2.26E-01	3.72E-02	1.02E-01	1.85E-01
Synthetic_Patient4	3.04E-01	2.39E-01	2.62E-01	5.55E-03	1.39E-01	7.93E-02	2.70E-01
Synthetic_Patient5	2.34E-01	1.61E-01	2.16E-01	1.08E-01	8.88E-02	1.63E-01	2.58E-01
Synthetic_Patient6	1.28E-01	1.26E-01	9.89E-02	1.45E-01	1.38E-01	2.39E-01	1.74E-01
Synthetic_Patient7	5.76E-02	1.33E-01	2.56E-01	2.35E-01	1.41E-01	9.74E-02	1.48E-01
Synthetic_Patient8	1.46E-01	2.46E-01	1.19E-01	1.25E-01	1.63E-01	6.97E-02	1.55E-01
Synthetic_Patient9	1.68E-01	1.04E-01	5.73E-02	2.79E-01	2.42E-01	1.62E-01	2.41E-01
