MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	3.2618104073662833e-06	3.411824874319791e-06	3.444362124582767e-06	3.498622586221245e-06	3.455008703213025e-06	3.5345217834219513e-06	3.4585475771109487e-06
0:homdel:100kb-1Mb	3.2618104066841626e-06	3.4118248738650434e-06	3.4443621259470092e-06	3.498622585766498e-06	3.455008704577267e-06	3.534521781148214e-06	3.458547576883575e-06
0:homdel:>1Mb	3.2618104057746677e-06	3.411824875001912e-06	3.444362125264888e-06	3.4986225864486185e-06	3.4550087034403986e-06	3.534521782967204e-06	3.4585475771109487e-06
1:LOH:0-100kb	0.003036265679254617	0.03899760560686248	0.018977901843148147	0.006660239616419572	0.022121477238600643	0.0633648487306946	0.0632566201994556
1:LOH:100kb-1Mb	3.2618104060020415e-06	3.4118248747745383e-06	3.4443621248101407e-06	3.4986225866759923e-06	3.455008703895146e-06	3.5345217802387197e-06	3.4585475773383224e-06
1:LOH:1Mb-10Mb	0.0036810019892233006	0.0506468039633919	0.027144418237997653	0.04199640389219887	0.26273167306485196	0.02366015338354061	0.016122958345133227
1:LOH:10Mb-40Mb	0.05961549710079131	0.06795993489771425	0.06878515245190879	0.4476198759848048	0.0809849878003741	0.07737012097345701	0.09181606888470714
1:LOH:>40Mb	0.4444892597720027	0.05492430575400468	0.04818819974056801	0.0731572029321547	0.05004681738868495	0.07837960257375412	0.11977933562282321
2:LOH:0-100kb	3.2618104060020415e-06	3.4118248752292857e-06	3.444362124582767e-06	3.498622587812861e-06	3.4550087041225197e-06	3.534521781148214e-06	3.4585475764288276e-06
2:LOH:100kb-1Mb	3.261810404637799e-06	3.4118248747745383e-06	3.4443621257196355e-06	3.498622585766498e-06	3.4550087036677723e-06	3.5345217834219513e-06	3.4585475773383224e-06
2:LOH:1Mb-10Mb	3.2618104039556785e-06	3.411824875001912e-06	3.4443621250375144e-06	3.498622585766498e-06	3.4550087036677723e-06	3.5345217831945776e-06	3.4585475777930694e-06
2:LOH:10Mb-40Mb	3.2618104053199203e-06	3.4118248747745383e-06	3.444362125492262e-06	3.498622585766498e-06	3.4550087034403986e-06	3.53452178273983e-06	3.4585475777930694e-06
