MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
0:homdel:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
0:homdel:>1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
1:LOH:0-100kb	8.85E-04	2.29E-03	2.18E-03	1.28E-03	1.60E-03	3.03E-03	3.62E-03
1:LOH:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
1:LOH:1Mb-10Mb	6.93E-04	2.47E-03	1.98E-03	2.39E-03	4.80E-03	1.92E-03	1.43E-03
1:LOH:10Mb-40Mb	3.42E-03	2.98E-03	3.43E-03	5.15E-03	3.25E-03	3.06E-03	3.59E-03
1:LOH:>40Mb	4.73E-03	2.57E-03	2.60E-03	3.41E-03	2.32E-03	3.08E-03	3.67E-03
2:LOH:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
2:LOH:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
2:LOH:1Mb-10Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
2:LOH:10Mb-40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
2:LOH:>40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
3-4:LOH:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
3-4:LOH:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
3-4:LOH:1Mb-10Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
3-4:LOH:10Mb-40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
3-4:LOH:>40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:LOH:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:LOH:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:LOH:1Mb-10Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:LOH:10Mb-40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:LOH:>40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:LOH:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:LOH:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:LOH:1Mb-10Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:LOH:10Mb-40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:LOH:>40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
2:het:0-100kb	2.84E-04	2.38E-04	1.61E-04	7.86E-04	6.85E-04	3.25E-04	6.30E-04
2:het:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
2:het:1Mb-10Mb	2.26E-03	1.31E-03	3.81E-03	1.98E-03	8.49E-04	2.26E-03	4.29E-03
2:het:10Mb-40Mb	2.34E-03	1.83E-03	2.52E-03	2.69E-03	1.88E-03	4.53E-03	3.05E-03
2:het:>40Mb	2.64E-03	2.17E-03	2.84E-03	2.53E-03	4.83E-03	3.03E-03	4.34E-03
3-4:het:0-100kb	1.43E-03	2.03E-03	2.74E-03	2.21E-03	9.62E-04	1.68E-03	1.62E-03
3-4:het:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
3-4:het:1Mb-10Mb	1.79E-03	2.03E-03	1.94E-03	2.32E-03	9.34E-04	3.85E-03	2.90E-03
3-4:het:10Mb-40Mb	3.12E-03	3.17E-03	4.78E-03	3.30E-03	3.06E-03	2.56E-03	3.33E-03
3-4:het:>40Mb	4.26E-03	4.64E-03	4.27E-03	3.59E-03	4.69E-03	2.86E-03	4.38E-03
5-8:het:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:het:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:het:1Mb-10Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:het:10Mb-40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
5-8:het:>40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:het:0-100kb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:het:100kb-1Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:het:1Mb-10Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:het:10Mb-40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
9+:het:>40Mb	4.00E-09	4.25E-09	4.52E-09	4.25E-09	3.68E-09	5.13E-09	6.06E-09
