Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
Synthetic_Patient1	1.94E-01	7.56E-02	1.29E-01	6.47E-02	2.87E-01	4.98E-02	1.17E-01	2.34E-01
Synthetic_Patient10	1.03E-01	1.19E-01	1.71E-01	8.57E-02	4.31E-02	2.17E-01	2.64E-01	1.95E-01
Synthetic_Patient2	2.36E-01	5.63E-02	1.60E-01	1.87E-01	1.73E-01	1.11E-01	1.28E-01	1.39E-01
Synthetic_Patient3	1.36E-01	2.54E-01	1.19E-01	2.18E-01	4.44E-02	9.94E-02	1.22E-01	1.54E-01
Synthetic_Patient4	2.08E-01	2.78E-01	2.35E-01	2.00E-03	1.27E-01	6.82E-02	2.89E-01	1.70E-01
Synthetic_Patient5	1.44E-01	2.22E-01	1.97E-01	9.48E-02	5.03E-02	1.42E-01	2.43E-01	2.31E-01
Synthetic_Patient6	1.06E-01	1.12E-01	9.97E-02	1.27E-01	1.33E-01	2.30E-01	1.12E-01	1.64E-01
Synthetic_Patient7	1.17E-01	4.87E-02	2.56E-01	2.30E-01	1.35E-01	9.07E-02	1.32E-01	1.30E-01
Synthetic_Patient8	2.36E-01	1.28E-01	1.09E-01	1.13E-01	1.75E-01	6.34E-02	1.60E-01	1.16E-01
Synthetic_Patient9	9.70E-02	1.60E-01	4.95E-02	2.69E-01	2.04E-01	1.45E-01	1.18E-01	2.84E-01
