MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	3.3877865055274013e-06	3.244024888999775e-06	3.447050440172461e-06	3.5031777044878255e-06	3.4632754134236164e-06	3.525031275330548e-06	3.4867679312355904e-06	3.459739729805733e-06
0:homdel:100kb-1Mb	3.3877866856073526e-06	3.2440248101011092e-06	3.447050460522405e-06	3.50317773632014e-06	3.4632755184702548e-06	3.525031447679794e-06	3.4867676040448716e-06	3.459739663185246e-06
0:homdel:>1Mb	3.387786696976036e-06	3.2440248030525254e-06	3.4470504575665475e-06	3.503177737911756e-06	3.463275520289244e-06	3.5250314599579722e-06	3.4867675881287142e-06	3.4597396627304988e-06
1:LOH:0-100kb	0.029324183912874734	0.0027292673975605848	0.012114479640278923	0.0055806987746910225	0.020305548499950865	0.05269668862743816	0.08543911125646224	0.041072243257713775
1:LOH:100kb-1Mb	3.387787016663424e-06	3.2440246711757937e-06	3.4470504805312886e-06	3.5031777922540642e-06	3.463275696276469e-06	3.5250317594091028e-06	3.486767013100689e-06	3.4597395456330558e-06
1:LOH:1Mb-10Mb	0.03975478362985418	0.004617445328090459	0.031455608441770706	0.039306561446635184	0.3049660271717651	0.021725670619168518	0.00817697201096463	0.03892833804781592
1:LOH:10Mb-40Mb	0.07322733554727336	0.06690741906522157	0.0815312139279612	0.4716070602089167	0.08430446310970172	0.07872404389897258	0.04107298786214637	0.11698512502642663
1:LOH:>40Mb	0.05391079515626763	0.4753990877568722	0.045232576111158766	0.07478391698278844	0.04211493957359528	0.07968336801988335	0.11141939863970098	0.11336232337143692
2:LOH:0-100kb	3.387786853409125e-06	3.244024742343754e-06	3.4470504679120495e-06	3.503177764969223e-06	3.4632756112387143e-06	3.52503160456763e-06	3.486767308686467e-06	3.4597396047502118e-06
2:LOH:100kb-1Mb	3.3877867549563235e-06	3.2440247821341472e-06	3.4470504623413946e-06	3.5031777488256923e-06	3.463275555077416e-06	3.525031510889676e-06	3.4867674853558126e-06	3.4597396379467683e-06
