MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
0:homdel:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
0:homdel:>1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
1:LOH:0-100kb	1.89E-03	8.14E-04	1.75E-03	1.23E-03	1.55E-03	2.84E-03	4.51E-03	3.18E-03
1:LOH:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
1:LOH:1Mb-10Mb	2.17E-03	8.35E-04	2.23E-03	2.52E-03	5.13E-03	1.75E-03	1.02E-03	2.36E-03
1:LOH:10Mb-40Mb	3.24E-03	3.59E-03	3.72E-03	5.50E-03	3.49E-03	3.20E-03	2.49E-03	4.23E-03
1:LOH:>40Mb	2.69E-03	5.04E-03	2.61E-03	3.62E-03	2.15E-03	3.25E-03	3.75E-03	3.82E-03
2:LOH:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
2:LOH:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
2:LOH:1Mb-10Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
2:LOH:10Mb-40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
2:LOH:>40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
3-4:LOH:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
3-4:LOH:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
3-4:LOH:1Mb-10Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
3-4:LOH:10Mb-40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
3-4:LOH:>40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:LOH:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:LOH:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:LOH:1Mb-10Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:LOH:10Mb-40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:LOH:>40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
9+:LOH:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
9+:LOH:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
9+:LOH:1Mb-10Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
9+:LOH:10Mb-40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
9+:LOH:>40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
2:het:0-100kb	1.70E-04	3.16E-04	1.01E-04	8.32E-04	6.39E-04	3.76E-04	3.24E-04	8.84E-04
2:het:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
2:het:1Mb-10Mb	1.43E-03	2.37E-03	3.27E-03	1.85E-03	7.52E-04	1.49E-03	5.01E-03	2.52E-03
2:het:10Mb-40Mb	1.60E-03	2.39E-03	2.61E-03	2.64E-03	2.10E-03	4.90E-03	3.64E-03	3.27E-03
2:het:>40Mb	2.16E-03	2.55E-03	2.94E-03	2.43E-03	4.22E-03	2.87E-03	2.70E-03	5.47E-03
3-4:het:0-100kb	2.20E-03	1.67E-03	3.12E-03	2.25E-03	1.48E-03	1.66E-03	1.85E-03	1.61E-03
3-4:het:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
3-4:het:1Mb-10Mb	1.98E-03	1.89E-03	1.95E-03	2.54E-03	1.51E-03	4.05E-03	2.24E-03	3.02E-03
3-4:het:10Mb-40Mb	3.14E-03	2.99E-03	5.01E-03	3.13E-03	3.14E-03	2.59E-03	3.90E-03	3.59E-03
3-4:het:>40Mb	4.79E-03	4.27E-03	4.17E-03	3.70E-03	5.19E-03	2.93E-03	4.96E-03	4.33E-03
5-8:het:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:het:100kb-1Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:het:1Mb-10Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:het:10Mb-40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
5-8:het:>40Mb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
9+:het:0-100kb	5.42E-09	5.13E-09	6.26E-09	5.51E-09	5.55E-09	6.33E-09	7.67E-09	7.25E-09
