Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
Synthetic_Patient1	1.84E-01	7.69E-02	7.27E-02	1.30E-01	2.80E-01	2.63E-01	4.30E-02	5.72E-02	8.69E-02
Synthetic_Patient10	1.05E-01	1.17E-01	7.44E-02	1.32E-01	3.56E-02	1.70E-01	1.94E-01	2.49E-01	1.30E-01
Synthetic_Patient2	2.20E-01	5.16E-02	1.77E-01	1.53E-01	1.64E-01	1.50E-01	9.00E-02	7.61E-02	1.92E-01
Synthetic_Patient3	1.11E-01	2.35E-01	1.87E-01	1.10E-01	1.53E-02	1.01E-01	8.01E-02	9.31E-02	2.64E-01
Synthetic_Patient4	1.98E-01	2.58E-01	5.47E-03	2.28E-01	1.03E-01	2.15E-01	7.04E-02	2.11E-01	1.67E-01
Synthetic_Patient5	1.47E-01	2.06E-01	8.11E-02	1.83E-01	1.37E-02	2.18E-01	1.33E-01	2.04E-01	1.71E-01
Synthetic_Patient6	9.10E-02	1.09E-01	1.05E-01	8.84E-02	1.27E-01	1.33E-01	2.22E-01	7.86E-02	1.61E-01
Synthetic_Patient7	9.91E-02	4.30E-02	2.19E-01	2.44E-01	1.34E-01	1.04E-01	7.80E-02	1.52E-01	1.47E-01
Synthetic_Patient8	2.32E-01	1.10E-01	9.80E-02	1.16E-01	1.53E-01	1.28E-01	5.75E-02	1.04E-01	1.65E-01
Synthetic_Patient9	7.55E-02	1.41E-01	2.61E-01	3.83E-02	2.07E-01	1.72E-01	1.28E-01	8.33E-02	2.86E-01
