MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	3.4077159366461275e-06	3.233343765458585e-06	3.5273548769509945e-06	3.4510783593191263e-06	3.441579975159925e-06	3.457209375469006e-06	3.5283516475033138e-06	3.505521057744848e-06	3.398423057518585e-06
0:homdel:100kb-1Mb	3.4076940437444137e-06	3.233320842781495e-06	3.5274929296065236e-06	3.4510408659116366e-06	3.4415285479667546e-06	3.457195989753359e-06	3.5283253181432882e-06	3.505536020498079e-06	3.398493434680461e-06
0:homdel:>1Mb	3.4073723679739486e-06	3.2334717090805044e-06	3.527407089677581e-06	3.4510588482703497e-06	3.4419642554439633e-06	3.4571371047462663e-06	3.528225445109001e-06	3.5055490649472664e-06	3.398647148586065e-06
1:LOH:0-100kb	0.031922958393161775	0.005313466887645515	0.006263123616839838	0.014864117404564309	0.02220388671612162	0.04233649786883177	0.051774839285124254	0.08030965216669428	0.027080799508019063
1:LOH:100kb-1Mb	3.4074903585405992e-06	3.233430473954968e-06	3.527391608031394e-06	3.4510824069684532e-06	3.441801318643911e-06	3.4571183965397266e-06	3.528311048796695e-06	3.505537695843164e-06	3.3985526894966258e-06
1:LOH:1Mb-10Mb	0.039625764318258164	0.007173296750221446	0.04198778877279152	0.03171318391851265	0.33486815662463415	0.03511516593209724	0.027483282460947736	0.005522832398935708	0.029848993829004983
1:LOH:10Mb-40Mb	0.057319166632932655	0.04149438059203493	0.49349989894854024	0.07414962616321466	0.08024789651076121	0.04853236957282282	0.06542897950424112	0.03877259129694568	0.23102956096637786
1:LOH:>40Mb	0.05265717984260534	0.5076601197199198	0.051244777648956484	0.04889247085112756	0.04197709535593189	0.08152054351511867	0.08040360111121593	0.08645095779499103	0.16920545499233886
2:LOH:0-100kb	3.4073914166583563e-06	3.2334511213036877e-06	3.527458212829515e-06	3.451063252271069e-06	3.4418833471931975e-06	3.457095768084173e-06	3.528257795380796e-06	3.505550111978506e-06	3.3986539806107884e-06
2:LOH:100kb-1Mb	3.4073978449669084e-06	3.2334494894428188e-06	3.527513581957464e-06	3.4510110625092237e-06	3.441901082680943e-06	3.4571558533968984e-06	3.528235413398306e-06	3.505548873392439e-06	3.3986537465295894e-06
2:LOH:1Mb-10Mb	3.4075039584422483e-06	3.233378896965178e-06	3.5275386685498233e-06	3.451034219096982e-06	3.441726655154298e-06	3.4571744322278164e-06	3.52823163842686e-06	3.5055478597094115e-06	3.3986614501628763e-06
2:LOH:10Mb-40Mb	3.4074681266247353e-06	3.233392003693325e-06	3.5275971119972383e-06	3.4509899132331156e-06	3.4417683968115397e-06	3.4572065974174392e-06	3.528214702669175e-06	3.505553622285218e-06	3.398692133316672e-06
2:LOH:>40Mb	3.4073402478043136e-06	3.2334547188099807e-06	3.5274385631964834e-06	3.451113821142826e-06	3.4418974086065645e-06	3.457053117458031e-06	3.528232809912879e-06	3.50555306282907e-06	3.3987259560035456e-06
3-4:LOH:0-100kb	3.4076502613515914e-06	3.2333575424843277e-06	3.5275264224310377e-06	3.451000180518804e-06	3.4416078213723723e-06	3.4571739400632853e-06	3.528340876925995e-06	3.505547134006859e-06	3.3984498962258415e-06
3-4:LOH:100kb-1Mb	3.4071212144226593e-06	3.2335724485790252e-06	3.527559362055399e-06	3.4509481605482506e-06	3.44225738899695e-06	3.4571457631358272e-06	3.528150791112239e-06	3.505569470904746e-06	3.3988056116811548e-06
3-4:LOH:1Mb-10Mb	3.407439260627143e-06	3.233426441482834e-06	3.5274655579087266e-06	3.451039518779453e-06	3.441852960918368e-06	3.457172994998814e-06	3.5282343716858123e-06	3.5055408643858143e-06	3.3986684300515434e-06
3-4:LOH:10Mb-40Mb	3.4074516063355987e-06	3.2334281818009458e-06	3.527516763369931e-06	3.4509884881117616e-06	3.4418501792288224e-06	3.4571933908722483e-06	3.5282462861232487e-06	3.5055450548693577e-06	3.398641683332926e-06
3-4:LOH:>40Mb	3.4077340292242296e-06	3.233330213873842e-06	3.5273735820737782e-06	3.4510840428652046e-06	3.4415365625477536e-06	3.4571984644884425e-06	3.528362997030854e-06	3.5055219784426717e-06	3.398421008526498e-06
5-8:LOH:0-100kb	3.407502116033356e-06	3.2334167314900243e-06	3.5274909698728152e-06	3.4509877265236356e-06	3.4418061679843957e-06	3.457233259936743e-06	3.528254489367555e-06	3.5055514911285223e-06	3.3985913021297167e-06
5-8:LOH:100kb-1Mb	3.4075822816248547e-06	3.2333997894227196e-06	3.527427713834186e-06	3.4510119427864082e-06	3.441759677116352e-06	3.45723782832863e-06	3.5282898286368435e-06	3.5055352260229265e-06	3.398500685253936e-06
5-8:LOH:1Mb-10Mb	3.4074021036758496e-06	3.2334939091640536e-06	3.527426103119069e-06	3.450979254239428e-06	3.4420223257711767e-06	3.4572213956778342e-06	3.5282523038517865e-06	3.5055410776694275e-06	3.3985583126483477e-06
5-8:LOH:10Mb-40Mb	3.4074967461492636e-06	3.2334119184440626e-06	3.527639853700748e-06	3.450906622447292e-06	3.441798144081076e-06	3.4572418855844946e-06	3.528249666373995e-06	3.5055635402040374e-06	3.3985818535064995e-06
5-8:LOH:>40Mb	3.4074253364906326e-06	3.2334395648092597e-06	3.5275007921882205e-06	3.4510384570580753e-06	3.4418556598438953e-06	3.457144348644192e-06	3.528255459286811e-06	3.5055452854998447e-06	3.398619940256253e-06
9+:LOH:0-100kb	3.4070830574819412e-06	3.233589945438098e-06	3.5275170280328895e-06	3.4509974544789657e-06	3.442279667353887e-06	3.4570546435901408e-06	3.5281645485838455e-06	3.5055739646660533e-06	3.3987935906090173e-06
9+:LOH:100kb-1Mb	3.40755139563953e-06	3.233382403294627e-06	3.5274538411158574e-06	3.451052406148847e-06	3.4417193124625102e-06	3.4571737142812254e-06	3.528244936944702e-06	3.5055554357441563e-06	3.3985623800418806e-06
9+:LOH:1Mb-10Mb	3.4074244790645026e-06	3.233435618284375e-06	3.5275171553621474e-06	3.4510119127730832e-06	3.4418594613612187e-06	3.4571566435204205e-06	3.5282388865880422e-06	3.5055540942900974e-06	3.3986418344795764e-06
9+:LOH:10Mb-40Mb	3.4072097023454264e-06	3.2335189953016653e-06	3.527508652268807e-06	3.451037420006742e-06	3.4420926702409816e-06	3.4570739316990282e-06	3.528184243521082e-06	3.5055628051323116e-06	3.3987715407661765e-06
9+:LOH:>40Mb	3.40755675483706e-06	3.233390656504298e-06	3.527377058617276e-06	3.451113078540402e-06	3.4417017971861694e-06	3.4571132671175066e-06	3.528314330367266e-06	3.505534047041903e-06	3.3985402451861545e-06
2:het:0-100kb	0.00020267320976994377	0.0017740599954371107	0.011927067696456326	2.8059953504937997e-05	0.006609512009076852	0.00454144725155852	0.001618722531122417	0.0011748420125535324	0.012866926209696615
2:het:100kb-1Mb	3.407626150874421e-06	3.23335503409794e-06	3.5274287865831868e-06	3.4510483971530446e-06	3.441643557096086e-06	3.457232231980356e-06	3.528280528826144e-06	3.5055368385068507e-06	3.3985534600304844e-06
2:het:1Mb-10Mb	0.013737350814910445	0.041255708850789614	0.02791491571517471	0.045934269547201624	0.0059422688280788135	0.02093160904308552	0.008022466602670371	0.22710155608285743	0.025874209200336545
2:het:10Mb-40Mb	0.02832626460186678	0.060979362313716375	0.061157644376865675	0.054286422654058426	0.036173063057053555	0.06913958472223855	0.4172758785272016	0.1308222898974028	0.07196797521724578
2:het:>40Mb	0.03890521925589617	0.07530918549513549	0.06844008455891569	0.06297785183737704	0.16343158678886732	0.30147097109359244	0.08728839250367255	0.08647156402737284	0.06351041252114503
3-4:het:0-100kb	0.03767497694066142	0.020387116106843153	0.03654720168082276	0.07365136202927307	0.014712306870402191	0.013575854256455787	0.02199550694383954	0.016326244747676077	0.028896382751238823
3-4:het:100kb-1Mb	3.4073854199050402e-06	3.2334513493594842e-06	3.52741316578431e-06	3.4510861668763935e-06	3.4419006369716952e-06	3.457125309608955e-06	3.528236497686521e-06	3.50554181977129e-06	3.3986880236511752e-06
3-4:het:1Mb-10Mb	0.026072951128769135	0.019394979512908462	0.04233234946654982	0.027025882339517922	0.011023381554561024	0.03798690946501172	0.1240920525556345	0.033770013695568986	0.0758990159739699
3-4:het:10Mb-40Mb	0.0893965643795899	0.08328685801601177	0.0781618514459009	0.43423026300495965	0.07472589567669735	0.13023640132937064	0.0491443079689788	0.1641059605106795	0.05916106609572022
3-4:het:>40Mb	0.5840362675487996	0.13585506764038682	0.08039631096960508	0.132122253165179	0.2079610318804762	0.21448818974387224	0.06534493957152632	0.12904529085168273	0.2045368603198602
5-8:het:0-100kb	3.407669962371074e-06	3.2333689575523296e-06	3.527404961459979e-06	3.451042690471695e-06	3.4416436277240338e-06	3.457193479547982e-06	3.5283493820088552e-06	3.505530694235981e-06	3.3984123330430548e-06
5-8:het:100kb-1Mb	3.407535141604967e-06	3.2333894343707923e-06	3.5274768097224295e-06	3.451060826023422e-06	3.441709722494579e-06	3.457127926125736e-06	3.5282905759572713e-06	3.5055481830337243e-06	3.3985691200939526e-06
