MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	8.00E-09	8.43E-09	8.83E-09	1.07E-08	1.15E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
0:homdel:100kb-1Mb	7.99E-09	8.43E-09	8.86E-09	1.07E-08	1.15E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
0:homdel:>1Mb	7.87E-09	8.41E-09	8.84E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.97E-09
1:LOH:0-100kb	2.28E-03	1.39E-03	1.29E-03	1.95E-03	2.04E-03	3.26E-03	3.15E-03	4.45E-03	2.73E-03
1:LOH:100kb-1Mb	7.91E-09	8.42E-09	8.83E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
1:LOH:1Mb-10Mb	2.20E-03	1.21E-03	2.63E-03	2.24E-03	5.41E-03	2.37E-03	2.10E-03	9.75E-04	1.97E-03
1:LOH:10Mb-40Mb	2.82E-03	2.73E-03	5.65E-03	3.76E-03	3.27E-03	2.66E-03	2.91E-03	2.27E-03	4.83E-03
1:LOH:>40Mb	2.66E-03	5.44E-03	2.79E-03	2.91E-03	2.26E-03	3.48E-03	3.34E-03	3.60E-03	4.80E-03
2:LOH:0-100kb	7.88E-09	8.42E-09	8.85E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.98E-09
2:LOH:100kb-1Mb	7.88E-09	8.42E-09	8.87E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.98E-09
2:LOH:1Mb-10Mb	7.93E-09	8.42E-09	8.88E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.97E-09
2:LOH:10Mb-40Mb	7.91E-09	8.42E-09	8.90E-09	1.08E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.96E-09
2:LOH:>40Mb	7.88E-09	8.41E-09	8.84E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.96E-09
3-4:LOH:0-100kb	7.97E-09	8.43E-09	8.87E-09	1.07E-08	1.15E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
3-4:LOH:100kb-1Mb	7.78E-09	8.40E-09	8.89E-09	1.08E-08	1.13E-08	1.10E-08	1.04E-08	1.26E-08	9.95E-09
3-4:LOH:1Mb-10Mb	7.90E-09	8.42E-09	8.86E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.96E-09
3-4:LOH:10Mb-40Mb	7.90E-09	8.42E-09	8.87E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.97E-09
3-4:LOH:>40Mb	8.00E-09	8.44E-09	8.83E-09	1.07E-08	1.15E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
5-8:LOH:0-100kb	7.91E-09	8.42E-09	8.87E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.98E-09
5-8:LOH:100kb-1Mb	7.94E-09	8.43E-09	8.85E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
5-8:LOH:1Mb-10Mb	7.86E-09	8.41E-09	8.85E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
5-8:LOH:10Mb-40Mb	7.90E-09	8.42E-09	8.91E-09	1.08E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
5-8:LOH:>40Mb	7.89E-09	8.42E-09	8.86E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.99E-09
9+:LOH:0-100kb	7.77E-09	8.40E-09	8.87E-09	1.07E-08	1.13E-08	1.10E-08	1.04E-08	1.26E-08	9.97E-09
9+:LOH:100kb-1Mb	7.94E-09	8.43E-09	8.85E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.99E-09
9+:LOH:1Mb-10Mb	7.89E-09	8.42E-09	8.87E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	9.98E-09
9+:LOH:10Mb-40Mb	7.82E-09	8.41E-09	8.86E-09	1.07E-08	1.13E-08	1.10E-08	1.04E-08	1.26E-08	9.96E-09
9+:LOH:>40Mb	7.95E-09	8.43E-09	8.83E-09	1.07E-08	1.14E-08	1.10E-08	1.04E-08	1.26E-08	1.00E-08
2:het:0-100kb	9.95E-05	4.89E-04	9.14E-04	2.56E-05	7.86E-04	6.41E-04	3.07E-04	3.03E-04	1.04E-03
2:het:100kb-1Mb	7.96E-09	8.43E-09	8.85E-09	1.07E-08	1.15E-08	1.10E-08	1.04E-08	1.26E-08	9.98E-09
2:het:1Mb-10Mb	1.28E-03	2.43E-03	1.95E-03	2.51E-03	9.82E-04	1.75E-03	1.19E-03	5.81E-03	1.73E-03
2:het:10Mb-40Mb	1.87E-03	2.63E-03	2.67E-03	2.60E-03	2.16E-03	3.22E-03	5.19E-03	4.17E-03	2.87E-03
2:het:>40Mb	2.02E-03	2.76E-03	2.81E-03	2.84E-03	4.41E-03	5.63E-03	3.13E-03	2.96E-03	2.54E-03
