Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,46.61%,48.65%,57.57%,48.55%,54.75,0.2077,0.2852,0.114,0.153,0.868,0.818
2,0.34,0.28,NO,N/A,39.48%,42.73%,53.27%,40.61%,51.98,0.1635,0.2622,0.082,0.141,0.905,0.834
3,0.3,0.16,NO,N/A,32.62%,34.36%,46.81%,30.43%,45.68,0.1275,0.2093,0.057,0.11,0.934,0.87
4,0.28,0.08,NO,N/A,26.63%,26.77%,39.81%,25.92%,40.78,0.1016,0.148,0.037,0.087,0.957,0.898
5,0.27,0.0,NO,N/A,21.44%,21.7%,34.83%,19.04%,32.53,0.0866,0.1434,0.023,0.054,0.974,0.939
6,0.27,0.05,NO,N/A,15.97%,17.65%,24.26%,15.67%,26.66,0.0696,0.1194,0.013,0.036,0.985,0.957
7,0.25,-0.28,NO,N/A,14.2%,15.01%,22.44%,12.87%,22.09,0.0606,0.119,0.01,0.024,0.988,0.971
8,0.21,-0.25,NO,N/A,13.94%,14.02%,24.34%,13.61%,21.82,0.0593,0.1329,0.009,0.021,0.99,0.976
9,0.18,-0.32,NO,N/A,12.77%,13.46%,21.6%,11.34%,18.37,0.0573,0.1138,0.008,0.017,0.991,0.981
10,0.16,-0.28,NO,N/A,12.0%,11.97%,18.22%,12.5%,17.18,0.0514,0.0995,0.007,0.014,0.992,0.985
