MutationType	CNV48A
0:homdel:0-100kb	0.00000342
0:homdel:100kb-1Mb	0.00000342
0:homdel:>1Mb	0.00000342
1:LOH:0-100kb	0.02376609
1:LOH:100kb-1Mb	0.00000342
1:LOH:1Mb-10Mb	0.05870221
1:LOH:10Mb-40Mb	0.12328158
1:LOH:>40Mb	0.13477983
2:LOH:0-100kb	0.00000342
2:LOH:100kb-1Mb	0.00000342
2:LOH:1Mb-10Mb	0.00000342
2:LOH:10Mb-40Mb	0.00000342
2:LOH:>40Mb	0.00000342
3-4:LOH:0-100kb	0.00000342
3-4:LOH:100kb-1Mb	0.00000342
3-4:LOH:1Mb-10Mb	0.00000342
3-4:LOH:10Mb-40Mb	0.00000342
3-4:LOH:>40Mb	0.00000342
5-8:LOH:0-100kb	0.00000342
5-8:LOH:100kb-1Mb	0.00000342
5-8:LOH:1Mb-10Mb	0.00000342
5-8:LOH:10Mb-40Mb	0.00000342
5-8:LOH:>40Mb	0.00000342
9+:LOH:0-100kb	0.00000342
9+:LOH:100kb-1Mb	0.00000342
9+:LOH:1Mb-10Mb	0.00000342
9+:LOH:10Mb-40Mb	0.00000342
9+:LOH:>40Mb	0.00000342
2:het:0-100kb	0.00333837
2:het:100kb-1Mb	0.00000342
2:het:1Mb-10Mb	0.04112606
2:het:10Mb-40Mb	0.09527852
2:het:>40Mb	0.10606105
3-4:het:0-100kb	0.02414941
3-4:het:100kb-1Mb	0.00000342
3-4:het:1Mb-10Mb	0.03819144
3-4:het:10Mb-40Mb	0.13284506
3-4:het:>40Mb	0.21835712
5-8:het:0-100kb	0.00000342
5-8:het:100kb-1Mb	0.00000342
5-8:het:1Mb-10Mb	0.00000342
5-8:het:10Mb-40Mb	0.00000342
5-8:het:>40Mb	0.00000342
9+:het:0-100kb	0.00000342
9+:het:100kb-1Mb	0.00000342
9+:het:1Mb-10Mb	0.00000342
9+:het:10Mb-40Mb	0.00000342
9+:het:>40Mb	0.00000342
