,Sig1,Sig2
E:HH:1:AA,0.393857710910033,0.151408308373344
E:HH:1:BB,1.40932144067921e-14,0.0753745971085648
E:HH:2:AA,0.132395978947207,0.11121215947904
E:LD:2:AA,0.0818325176342909,0.0924124224486213
E:LD:3:AA,6.30499258962159e-14,0.0565309478313729
E:LL:2:AA,0.0303239437239455,4.51630358772404e-18
E:LL:3:AA,0.315879388535241,0.146029007805153
E:LL:4:AA,4.88460174353699e-14,0.113061895662701
E:LL:4:BB,3.72541437793062e-18,0.0942182463856917
L:HH:1:AA,0.0356024790075834,0.00900322068830923
L:HH:1:BB,2.94600679385435e-14,0.0188436492772342
L:HH:2:AA,5.090770864201e-14,0.0565309478313955
L:LD:2:AA,8.24299457528398e-14,0.0188436492771354
L:LL:3:AA,3.2993735921921e-14,0.0565309478314289
L:LL:4:AA,0.0101079812413783,7.88157295112937e-15
