MutationType	CN1	CN2	CN13	CN23
0:homdel:0-100kb	0.00179505	0.00223767	0.00224368	0.24410253
0:homdel:100kb-1Mb	0.00380710	0.00719579	0.03467842	0.02413956
0:homdel:>1Mb	0.00243675	0.00383711	0.01814564	0.00355824
1:LOH:0-100kb	0.00284045	0.00282654	0.00284705	0.13028998
1:LOH:100kb-1Mb	0.01226306	0.00632392	0.02886982	0.07688590
1:LOH:1Mb-10Mb	0.01916342	0.00102376	0.12860718	0.03485188
1:LOH:10Mb-40Mb	0.04729776	0.00048336	0.15419780	0.02090447
1:LOH:>40Mb	0.07364600	0.00012432	0.21568204	0.00226301
2:LOH:0-100kb	0.00118798	0.00248892	0.00005690	0.00000004
2:LOH:100kb-1Mb	0.00430310	0.01946487	0.02909678	0.00033402
2:LOH:1Mb-10Mb	0.00443801	0.03355154	0.03957572	0.00178993
2:LOH:10Mb-40Mb	0.00431859	0.05229118	0.01185966	0.00517329
2:LOH:>40Mb	0.01221565	0.06737476	0.00008500	0.00000000
3-4:LOH:0-100kb	0.00137995	0.00271740	0.00057156	0.00072698
3-4:LOH:100kb-1Mb	0.00166785	0.01381944	0.00817896	0.00079858
3-4:LOH:1Mb-10Mb	0.00151428	0.01247139	0.01705423	0.00034028
3-4:LOH:10Mb-40Mb	0.00010220	0.01063124	0.00759605	0.00074860
3-4:LOH:>40Mb	0.00736761	0.01742692	0.00381337	0.00044828
5-8:LOH:0-100kb	0.00035130	0.00168941	0.00294361	0.00000014
5-8:LOH:100kb-1Mb	0.00021211	0.00341625	0.00123595	0.00000160
5-8:LOH:1Mb-10Mb	0.00020778	0.00449531	0.00610440	0.00001530
5-8:LOH:10Mb-40Mb	0.00009970	0.00275604	0.00077852	0.00000014
5-8:LOH:>40Mb	0.00033194	0.01008962	0.00162804	0.00001830
9+:LOH:0-100kb	0.00013400	0.00052020	0.00004450	0.00000014
9+:LOH:100kb-1Mb	0.00041199	0.00066864	0.00344403	0.00003280
9+:LOH:1Mb-10Mb	0.00020077	0.00082900	0.00163639	0.00000014
9+:LOH:10Mb-40Mb	0.00000651	0.00035090	0.00000061	0.00000014
9+:LOH:>40Mb	0.00000276	0.00071277	0.00013687	0.00000015
2:het:0-100kb	0.00012685	0.00107728	0.00242738	0.00205934
2:het:100kb-1Mb	0.00239269	0.00144857	0.00710641	0.02112224
2:het:1Mb-10Mb	0.01722643	0.00057147	0.06241927	0.12925873
2:het:10Mb-40Mb	0.11204389	0.00040127	0.06807839	0.26664244
2:het:>40Mb	0.64754824	0.00000162	0.06958505	0.01902544
3-4:het:0-100kb	0.00098644	0.00130161	0.00027983	0.00074580
3-4:het:100kb-1Mb	0.00362315	0.01521748	0.01942203	0.00157867
3-4:het:1Mb-10Mb	0.00173459	0.05815643	0.02082491	0.00634558
3-4:het:10Mb-40Mb	0.00300954	0.13520088	0.01275603	0.00077023
3-4:het:>40Mb	0.00537392	0.39028478	0.00958487	0.00000021
5-8:het:0-100kb	0.00074121	0.00171720	0.00098094	0.00003530
5-8:het:100kb-1Mb	0.00011638	0.01163041	0.00090333	0.00091931
5-8:het:1Mb-10Mb	0.00020400	0.01933555	0.00000058	0.00226165
5-8:het:10Mb-40Mb	0.00001930	0.02564167	0.00020304	0.00179573
5-8:het:>40Mb	0.00052566	0.04417481	0.00006820	0.00000018
9+:het:0-100kb	0.00010526	0.00099145	0.00089424	0.00001410
9+:het:100kb-1Mb	0.00031818	0.00324101	0.00050042	0.00000015
9+:het:1Mb-10Mb	0.00018704	0.00377986	0.00271170	0.00000014
9+:het:10Mb-40Mb	0.00000174	0.00190840	0.00004290	0.00000014
9+:het:>40Mb	0.00001180	0.00209996	0.00009770	0.00000014
