MutationType	CNV48A
0:homdel:0-100kb	3.3328846693621016e-06
0:homdel:100kb-1Mb	3.3328846736822017e-06
0:homdel:>1Mb	3.3328846702715964e-06
1:LOH:0-100kb	3.3328846723179594e-06
1:LOH:100kb-1Mb	3.332884669134728e-06
1:LOH:1Mb-10Mb	3.332884673454828e-06
1:LOH:10Mb-40Mb	0.20293932258457767
1:LOH:>40Mb	0.2977931866198778
2:LOH:0-100kb	3.332884669816849e-06
2:LOH:100kb-1Mb	3.332884667088365e-06
2:LOH:1Mb-10Mb	3.3328846711810913e-06
2:LOH:10Mb-40Mb	3.332884669816849e-06
2:LOH:>40Mb	3.332884667088365e-06
3-4:LOH:0-100kb	3.3328846709537176e-06
3-4:LOH:100kb-1Mb	3.3328846723179594e-06
3-4:LOH:1Mb-10Mb	3.332884668452607e-06
3-4:LOH:10Mb-40Mb	3.332884669134728e-06
3-4:LOH:>40Mb	3.3328846695894753e-06
5-8:LOH:0-100kb	3.332884671863212e-06
5-8:LOH:100kb-1Mb	3.332884668452607e-06
5-8:LOH:1Mb-10Mb	3.3328846682252334e-06
5-8:LOH:10Mb-40Mb	3.3328846675431123e-06
5-8:LOH:>40Mb	3.33288467049897e-06
9+:LOH:0-100kb	3.3328846732274543e-06
9+:LOH:100kb-1Mb	3.33288467049897e-06
9+:LOH:1Mb-10Mb	3.332884665724123e-06
9+:LOH:10Mb-40Mb	3.3328846702715964e-06
9+:LOH:>40Mb	3.3328846700442227e-06
2:het:0-100kb	3.3328846723179594e-06
2:het:100kb-1Mb	3.3328846716358383e-06
2:het:1Mb-10Mb	0.03239692822048937
2:het:10Mb-40Mb	0.0684578166599124
2:het:>40Mb	0.06909113554680743
3-4:het:0-100kb	0.03299678667617559
3-4:het:100kb-1Mb	3.3328846730000806e-06
3-4:het:1Mb-10Mb	0.03396333726454668
3-4:het:10Mb-40Mb	0.09895348827214456
3-4:het:>40Mb	0.16327801732452896
5-8:het:0-100kb	3.332884671863212e-06
5-8:het:100kb-1Mb	3.332884667088365e-06
5-8:het:1Mb-10Mb	3.332884664814628e-06
5-8:het:10Mb-40Mb	3.3328846720905857e-06
5-8:het:>40Mb	3.3328846720905857e-06
9+:het:0-100kb	3.332884666860991e-06
9+:het:100kb-1Mb	3.332884669134728e-06
9+:het:1Mb-10Mb	3.3328846675431123e-06
9+:het:10Mb-40Mb	3.3328846711810913e-06
9+:het:>40Mb	3.332884668452607e-06
