MutationType	CN1	CN2	CN13
0:homdel:0-100kb	0.00179505	0.00223767	0.00224368
0:homdel:100kb-1Mb	0.00380710	0.00719579	0.03467842
0:homdel:>1Mb	0.00243675	0.00383711	0.01814564
1:LOH:0-100kb	0.00284045	0.00282654	0.00284705
1:LOH:100kb-1Mb	0.01226306	0.00632392	0.02886982
1:LOH:1Mb-10Mb	0.01916342	0.00102376	0.12860718
1:LOH:10Mb-40Mb	0.04729776	0.00048336	0.15419780
1:LOH:>40Mb	0.07364600	0.00012432	0.21568204
2:LOH:0-100kb	0.00118798	0.00248892	0.00005690
2:LOH:100kb-1Mb	0.00430310	0.01946487	0.02909678
2:LOH:1Mb-10Mb	0.00443801	0.03355154	0.03957572
2:LOH:10Mb-40Mb	0.00431859	0.05229118	0.01185966
2:LOH:>40Mb	0.01221565	0.06737476	0.00008500
3-4:LOH:0-100kb	0.00137995	0.00271740	0.00057156
3-4:LOH:100kb-1Mb	0.00166785	0.01381944	0.00817896
3-4:LOH:1Mb-10Mb	0.00151428	0.01247139	0.01705423
3-4:LOH:10Mb-40Mb	0.00010220	0.01063124	0.00759605
3-4:LOH:>40Mb	0.00736761	0.01742692	0.00381337
5-8:LOH:0-100kb	0.00035130	0.00168941	0.00294361
5-8:LOH:100kb-1Mb	0.00021211	0.00341625	0.00123595
5-8:LOH:1Mb-10Mb	0.00020778	0.00449531	0.00610440
5-8:LOH:10Mb-40Mb	0.00009970	0.00275604	0.00077852
5-8:LOH:>40Mb	0.00033194	0.01008962	0.00162804
9+:LOH:0-100kb	0.00013400	0.00052020	0.00004450
9+:LOH:100kb-1Mb	0.00041199	0.00066864	0.00344403
9+:LOH:1Mb-10Mb	0.00020077	0.00082900	0.00163639
9+:LOH:10Mb-40Mb	0.00000651	0.00035090	0.00000061
9+:LOH:>40Mb	0.00000276	0.00071277	0.00013687
2:het:0-100kb	0.00012685	0.00107728	0.00242738
2:het:100kb-1Mb	0.00239269	0.00144857	0.00710641
2:het:1Mb-10Mb	0.01722643	0.00057147	0.06241927
2:het:10Mb-40Mb	0.11204389	0.00040127	0.06807839
2:het:>40Mb	0.64754824	0.00000162	0.06958505
3-4:het:0-100kb	0.00098644	0.00130161	0.00027983
3-4:het:100kb-1Mb	0.00362315	0.01521748	0.01942203
3-4:het:1Mb-10Mb	0.00173459	0.05815643	0.02082491
3-4:het:10Mb-40Mb	0.00300954	0.13520088	0.01275603
3-4:het:>40Mb	0.00537392	0.39028478	0.00958487
5-8:het:0-100kb	0.00074121	0.00171720	0.00098094
5-8:het:100kb-1Mb	0.00011638	0.01163041	0.00090333
5-8:het:1Mb-10Mb	0.00020400	0.01933555	0.00000058
5-8:het:10Mb-40Mb	0.00001930	0.02564167	0.00020304
5-8:het:>40Mb	0.00052566	0.04417481	0.00006820
9+:het:0-100kb	0.00010526	0.00099145	0.00089424
9+:het:100kb-1Mb	0.00031818	0.00324101	0.00050042
9+:het:1Mb-10Mb	0.00018704	0.00377986	0.00271170
9+:het:10Mb-40Mb	0.00000174	0.00190840	0.00004290
9+:het:>40Mb	0.00001180	0.00209996	0.00009770
