Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
Synthetic_Patient1	6.50E-02	8.62E-02	7.55E-02	1.33E-01	9.97E-02	9.84E-02	5.82E-02	7.08E-02	8.31E-02	5.65E-02
Synthetic_Patient10	7.82E-02	1.39E-01	8.46E-02	7.74E-02	8.60E-02	1.15E-01	5.57E-02	5.70E-02	1.11E-01	1.27E-01
Synthetic_Patient2	1.27E-01	6.03E-02	8.97E-03	8.55E-02	4.59E-02	1.50E-02	1.04E-01	7.17E-02	1.10E-01	1.10E-01
Synthetic_Patient3	1.06E-01	7.93E-02	1.22E-01	7.78E-02	7.42E-02	1.81E-02	8.16E-02	4.77E-02	8.65E-02	7.98E-02
Synthetic_Patient4	7.19E-02	1.16E-01	7.31E-02	7.83E-02	1.29E-01	1.08E-01	7.75E-02	1.52E-01	1.36E-01	9.14E-02
Synthetic_Patient5	1.26E-01	4.28E-02	1.47E-01	1.19E-01	4.01E-02	8.63E-02	1.09E-01	2.52E-02	6.86E-02	9.26E-02
Synthetic_Patient6	9.66E-02	1.23E-01	8.13E-02	1.47E-02	7.37E-02	2.29E-02	1.46E-01	1.17E-01	1.51E-01	1.42E-01
Synthetic_Patient7	4.27E-02	1.28E-01	8.35E-03	1.00E-03	1.37E-01	8.92E-02	3.32E-02	1.41E-01	8.26E-02	6.85E-02
Synthetic_Patient8	1.22E-01	9.73E-02	7.47E-03	0.00E+00	7.02E-02	1.46E-01	6.62E-02	3.88E-02	9.09E-02	1.32E-01
Synthetic_Patient9	1.41E-01	5.85E-02	5.00E-03	8.23E-02	4.80E-02	1.78E-02	1.72E-01	3.43E-02	1.18E-01	1.10E-01
