MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_del_1-10Kb	5.991737403583654e-06	5.845845146790536e-06	4.4270700053693325e-06	5.612368436153809e-06	5.905465378304794e-06	4.886294648465755e-06	5.7046700126821206e-06	5.508360935001393e-06	5.679306337690453e-06	5.7435735879988614e-06
clustered_del_10-100Kb	5.98914223380003e-06	5.8420559354876185e-06	4.429010622859252e-06	5.609348114692708e-06	5.918592453145208e-06	4.889623051905489e-06	5.706044213050876e-06	5.5056837239272715e-06	5.676170545952271e-06	5.740703700608286e-06
clustered_del_100Kb-1Mb	5.9989256413071515e-06	5.851986877595481e-06	4.426479376104414e-06	5.60260072777248e-06	5.915443502347242e-06	4.88318976311032e-06	5.696379417896897e-06	5.507490351709669e-06	5.672965736448611e-06	5.765149160524055e-06
clustered_del_1Mb-10Mb	5.988118657074599e-06	5.846460787111079e-06	4.424591184738939e-06	5.607460587936384e-06	5.919151741922808e-06	4.896247514288337e-06	5.696643624334868e-06	5.511844672654751e-06	5.673043462345675e-06	5.756470221556831e-06
clustered_del_>10Mb	5.9972480103998184e-06	5.853937284239173e-06	4.424932745011569e-06	5.603608533213405e-06	5.920611838432489e-06	4.8858694218728505e-06	5.695661343564296e-06	5.5002703513558625e-06	5.674252779660437e-06	5.744600363389474e-06
clustered_tds_1-10Kb	5.994904642888202e-06	5.855403427967854e-06	4.426673290627214e-06	5.607097110844513e-06	5.922188518930827e-06	4.882219840092974e-06	5.705784352819254e-06	5.497309208871218e-06	5.67755228777471e-06	5.750973818633469e-06
clustered_tds_10-100Kb	5.991589285303009e-06	5.851161832703106e-06	4.425932803562115e-06	5.608480410996202e-06	5.922424892716731e-06	4.890875920652719e-06	5.706172506882506e-06	5.506251994496754e-06	5.6762763230851784e-06	5.74459376271878e-06
clustered_tds_100Kb-1Mb	5.989951097908781e-06	5.849143165940713e-06	4.425239018784243e-06	5.612776227423019e-06	5.918996160962305e-06	4.892297439951071e-06	5.703471125895693e-06	5.500962360513923e-06	5.668298980676934e-06	5.760778996400305e-06
clustered_tds_1Mb-10Mb	5.992764434214997e-06	5.847546997730079e-06	4.425496500292336e-06	5.607240194884575e-06	5.914219994861537e-06	4.8876042073438845e-06	5.698513985726726e-06	5.50882489229487e-06	5.6798828002947995e-06	5.7496716476374486e-06
clustered_tds_>10Mb	5.988074209349419e-06	5.8529254910784706e-06	4.427141185400945e-06	5.61084153109174e-06	5.916800838153122e-06	4.882237991533072e-06	5.699267976220631e-06	5.506592779240631e-06	5.6762908167016456e-06	5.748592012119263e-06
clustered_inv_1-10Kb	5.986716333389913e-06	5.8636393702250104e-06	4.427322629530132e-06	5.598670721271179e-06	5.915942391761959e-06	4.889469218163203e-06	5.703447640750432e-06	5.510669993198044e-06	5.668007409529895e-06	5.745814162346348e-06
