MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_del_1-10Kb	8.65E-08	1.15E-07	9.29E-08	1.10E-07	1.08E-07	9.67E-08	9.79E-08	1.19E-07	1.41E-07	9.57E-08
clustered_del_10-100Kb	8.61E-08	1.14E-07	9.31E-08	1.10E-07	1.08E-07	9.70E-08	9.78E-08	1.19E-07	1.41E-07	9.58E-08
clustered_del_100Kb-1Mb	8.65E-08	1.14E-07	9.29E-08	1.09E-07	1.08E-07	9.68E-08	9.81E-08	1.19E-07	1.40E-07	9.68E-08
clustered_del_1Mb-10Mb	8.64E-08	1.15E-07	9.30E-08	1.10E-07	1.08E-07	9.73E-08	9.78E-08	1.19E-07	1.41E-07	9.63E-08
clustered_del_>10Mb	8.63E-08	1.14E-07	9.29E-08	1.09E-07	1.08E-07	9.68E-08	9.79E-08	1.19E-07	1.41E-07	9.63E-08
clustered_tds_1-10Kb	8.62E-08	1.14E-07	9.30E-08	1.10E-07	1.08E-07	9.68E-08	9.81E-08	1.19E-07	1.40E-07	9.68E-08
clustered_tds_10-100Kb	8.64E-08	1.15E-07	9.29E-08	1.10E-07	1.08E-07	9.69E-08	9.78E-08	1.19E-07	1.40E-07	9.60E-08
clustered_tds_100Kb-1Mb	8.62E-08	1.14E-07	9.30E-08	1.10E-07	1.08E-07	9.67E-08	9.79E-08	1.19E-07	1.41E-07	9.67E-08
clustered_tds_1Mb-10Mb	8.64E-08	1.14E-07	9.30E-08	1.09E-07	1.07E-07	9.70E-08	9.80E-08	1.19E-07	1.41E-07	9.64E-08
clustered_tds_>10Mb	8.64E-08	1.15E-07	9.29E-08	1.10E-07	1.08E-07	9.70E-08	9.78E-08	1.19E-07	1.41E-07	9.62E-08
clustered_inv_1-10Kb	8.64E-08	1.15E-07	9.31E-08	1.09E-07	1.07E-07	9.67E-08	9.79E-08	1.19E-07	1.40E-07	9.62E-08
clustered_inv_10-100Kb	8.62E-08	1.15E-07	9.29E-08	1.10E-07	1.08E-07	9.71E-08	9.79E-08	1.19E-07	1.40E-07	9.70E-08
clustered_inv_100Kb-1Mb	8.65E-08	1.15E-07	9.30E-08	1.10E-07	1.08E-07	9.69E-08	9.79E-08	1.19E-07	1.40E-07	9.61E-08
clustered_inv_1Mb-10Mb	8.65E-08	1.15E-07	9.29E-08	1.09E-07	1.08E-07	9.68E-08	9.80E-08	1.19E-07	1.41E-07	9.60E-08
clustered_inv_>10Mb	8.66E-08	1.14E-07	9.29E-08	1.10E-07	1.08E-07	9.70E-08	9.80E-08	1.18E-07	1.40E-07	9.60E-08
clustered_trans	8.61E-08	1.15E-07	9.30E-08	1.10E-07	1.08E-07	9.71E-08	9.79E-08	1.19E-07	1.41E-07	9.63E-08
non-clustered_del_1-10Kb	8.52E-04	9.46E-04	1.46E-03	1.55E-03	1.11E-03	1.30E-03	2.55E-03	6.08E-03	3.15E-03	2.51E-03
non-clustered_del_10-100Kb	1.36E-03	1.47E-03	5.81E-03	2.22E-03	2.14E-03	1.62E-03	1.50E-03	1.81E-03	1.50E-03	1.53E-03
non-clustered_del_100Kb-1Mb	4.58E-04	5.32E-03	1.30E-03	5.53E-04	2.16E-03	2.55E-03	8.87E-04	1.96E-03	1.63E-03	4.29E-03
non-clustered_del_1Mb-10Mb	1.46E-03	1.94E-03	1.46E-03	1.68E-03	2.57E-03	5.92E-03	9.75E-04	1.92E-03	1.14E-03	1.93E-03
non-clustered_del_>10Mb	3.18E-03	4.82E-03	6.31E-03	6.56E-03	3.51E-03	6.34E-03	5.32E-03	4.28E-03	5.07E-03	5.62E-03
non-clustered_tds_1-10Kb	5.30E-04	2.04E-03	8.56E-04	9.59E-04	1.01E-03	1.56E-03	5.35E-04	5.93E-04	1.41E-03	1.55E-03
non-clustered_tds_10-100Kb	3.43E-04	1.56E-03	4.75E-04	5.20E-04	1.24E-03	8.18E-04	3.75E-03	1.97E-03	2.45E-03	8.83E-04
non-clustered_tds_100Kb-1Mb	6.41E-04	2.06E-03	1.33E-03	2.64E-03	2.43E-03	1.78E-03	1.44E-03	2.38E-03	1.72E-03	1.09E-03
non-clustered_tds_1Mb-10Mb	5.48E-04	1.48E-03	1.71E-03	1.05E-03	1.34E-03	2.03E-03	1.88E-03	3.07E-03	2.80E-03	1.69E-03
non-clustered_tds_>10Mb	1.29E-03	1.65E-03	2.71E-03	5.85E-03	2.29E-03	2.10E-03	2.70E-03	1.54E-03	1.69E-03	1.65E-03
non-clustered_inv_1-10Kb	8.61E-08	1.14E-07	9.31E-08	1.10E-07	1.08E-07	9.71E-08	9.79E-08	1.19E-07	1.41E-07	9.57E-08
non-clustered_inv_10-100Kb	8.64E-08	1.15E-07	9.31E-08	1.10E-07	1.08E-07	9.68E-08	9.81E-08	1.19E-07	1.41E-07	9.64E-08
non-clustered_inv_100Kb-1Mb	8.62E-08	1.15E-07	9.28E-08	1.10E-07	1.08E-07	9.68E-08	9.77E-08	1.19E-07	1.41E-07	9.62E-08
non-clustered_inv_1Mb-10Mb	8.64E-08	1.14E-07	9.30E-08	1.09E-07	1.08E-07	9.69E-08	9.81E-08	1.19E-07	1.41E-07	9.62E-08
non-clustered_inv_>10Mb	8.63E-08	1.15E-07	9.31E-08	1.10E-07	1.08E-07	9.71E-08	9.86E-08	1.19E-07	1.41E-07	9.64E-08
non-clustered_trans	1.47E-03	5.55E-03	4.09E-03	4.41E-03	5.59E-03	5.23E-03	2.52E-03	5.97E-03	4.51E-03	3.28E-03
