MutationType	SV32A	SV32B
clustered_del_1-10Kb	5.590674260020023e-06	5.555754031320248e-06
clustered_del_10-100Kb	5.590674260020023e-06	5.555754031320248e-06
clustered_del_100Kb-1Mb	5.5906742595652755e-06	5.555754031774995e-06
clustered_del_1Mb-10Mb	5.590674260020023e-06	5.555754031320248e-06
clustered_del_>10Mb	5.5906742595652755e-06	5.555754031774995e-06
clustered_tds_1-10Kb	5.5906742595652755e-06	5.555754031774995e-06
clustered_tds_10-100Kb	5.5906742595652755e-06	5.555754031774995e-06
clustered_tds_100Kb-1Mb	5.590674260020023e-06	5.555754031320248e-06
clustered_tds_1Mb-10Mb	5.5906742595652755e-06	5.555754031774995e-06
clustered_tds_>10Mb	5.5906742595652755e-06	5.555754031774995e-06
clustered_inv_1-10Kb	5.5906742595652755e-06	5.555754031774995e-06
clustered_inv_10-100Kb	5.590674260020023e-06	5.555754031320248e-06
clustered_inv_100Kb-1Mb	5.5906742595652755e-06	5.555754031774995e-06
clustered_inv_1Mb-10Mb	5.5906742595652755e-06	5.555754031774995e-06
clustered_inv_>10Mb	5.590674260020023e-06	5.555754031320248e-06
clustered_trans	5.5906742595652755e-06	5.555754031774995e-06
non-clustered_del_1-10Kb	0.014206658597043184	0.03689252100264058
non-clustered_del_10-100Kb	0.06288415758184013	0.038019756787768005
non-clustered_del_100Kb-1Mb	0.013594509808461046	0.03562805945771045
non-clustered_del_1Mb-10Mb	0.026464189002951697	0.05902442466761225
non-clustered_del_>10Mb	0.6102609431147575	0.36272570967868617
non-clustered_tds_1-10Kb	0.004847724250644663	0.007456270937953981
non-clustered_tds_10-100Kb	0.014479526194503066	0.009282407570582013
non-clustered_tds_100Kb-1Mb	0.0074521919910494365	0.01653982672986849
non-clustered_tds_1Mb-10Mb	0.00764010613628319	0.017097751414865955
non-clustered_tds_>10Mb	0.07312832554455312	0.039083041352829584
non-clustered_inv_1-10Kb	5.5906742595652755e-06	5.555754031774995e-06
non-clustered_inv_10-100Kb	5.590674260020023e-06	5.555754031320248e-06
non-clustered_inv_100Kb-1Mb	5.590674260020023e-06	5.555754031320248e-06
non-clustered_inv_1Mb-10Mb	5.590674260020023e-06	5.555754031320248e-06
non-clustered_inv_>10Mb	5.590674260020023e-06	5.555754031320248e-06
non-clustered_trans	0.16492425965297303	0.37813355872035026
