MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_del_10-100Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_del_100Kb-1Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_del_1Mb-10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_del_>10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_tds_1-10Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_tds_10-100Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_tds_100Kb-1Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_tds_1Mb-10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_tds_>10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_inv_1-10Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_inv_10-100Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_inv_100Kb-1Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_inv_1Mb-10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_inv_>10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
clustered_trans	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
non-clustered_del_1-10Kb	0.015478097312599746	0.04970932856377679	0.017281547706758396
non-clustered_del_10-100Kb	0.037706084329378615	0.023119455696198797	0.09640336786426562
non-clustered_del_100Kb-1Mb	0.014290019553472448	0.04692826817798239	0.018569569911935646
non-clustered_del_1Mb-10Mb	0.02161986404291055	0.07004984972054029	0.04491054887083881
non-clustered_del_>10Mb	0.6995493662953377	0.26484908494079806	0.443076130967318
non-clustered_tds_1-10Kb	0.003377300850523495	0.009022109751022016	0.007984511427289433
non-clustered_tds_10-100Kb	0.01989890655510131	0.008798748745938825	0.009541106143145262
non-clustered_tds_100Kb-1Mb	0.004127097028293642	0.02003015276189992	0.015608039137466776
non-clustered_tds_1Mb-10Mb	0.009280110831988694	0.01899698101653309	0.012226740148375928
non-clustered_tds_>10Mb	0.04621839637921839	0.025641510271874446	0.09909481449627763
non-clustered_inv_1-10Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
non-clustered_inv_10-100Kb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
non-clustered_inv_100Kb-1Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
non-clustered_inv_1Mb-10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
non-clustered_inv_>10Mb	5.683958825102309e-06	5.577491567237303e-06	5.374620294787746e-06
non-clustered_trans	0.12833539536760652	0.46273738391324876	0.23519075801679207
