MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	1.20E-08	1.34E-08	1.31E-08
clustered_del_10-100Kb	1.20E-08	1.34E-08	1.31E-08
clustered_del_100Kb-1Mb	1.20E-08	1.34E-08	1.31E-08
clustered_del_1Mb-10Mb	1.20E-08	1.34E-08	1.31E-08
clustered_del_>10Mb	1.20E-08	1.34E-08	1.31E-08
clustered_tds_1-10Kb	1.20E-08	1.34E-08	1.31E-08
clustered_tds_10-100Kb	1.20E-08	1.34E-08	1.31E-08
clustered_tds_100Kb-1Mb	1.20E-08	1.34E-08	1.31E-08
clustered_tds_1Mb-10Mb	1.20E-08	1.34E-08	1.31E-08
clustered_tds_>10Mb	1.20E-08	1.34E-08	1.31E-08
clustered_inv_1-10Kb	1.20E-08	1.34E-08	1.31E-08
clustered_inv_10-100Kb	1.20E-08	1.34E-08	1.31E-08
clustered_inv_100Kb-1Mb	1.20E-08	1.34E-08	1.31E-08
clustered_inv_1Mb-10Mb	1.20E-08	1.34E-08	1.31E-08
clustered_inv_>10Mb	1.20E-08	1.34E-08	1.31E-08
clustered_trans	1.20E-08	1.34E-08	1.31E-08
non-clustered_del_1-10Kb	1.10E-03	1.71E-03	1.17E-03
non-clustered_del_10-100Kb	1.83E-03	1.54E-03	2.86E-03
non-clustered_del_100Kb-1Mb	9.82E-04	1.71E-03	1.20E-03
non-clustered_del_1Mb-10Mb	1.36E-03	2.47E-03	2.00E-03
non-clustered_del_>10Mb	3.55E-03	4.43E-03	4.08E-03
non-clustered_tds_1-10Kb	3.23E-04	6.84E-04	5.92E-04
non-clustered_tds_10-100Kb	9.02E-04	7.62E-04	7.78E-04
non-clustered_tds_100Kb-1Mb	4.57E-04	1.07E-03	8.81E-04
non-clustered_tds_1Mb-10Mb	7.19E-04	9.53E-04	7.86E-04
non-clustered_tds_>10Mb	1.96E-03	1.88E-03	3.09E-03
non-clustered_inv_1-10Kb	1.20E-08	1.34E-08	1.31E-08
non-clustered_inv_10-100Kb	1.20E-08	1.34E-08	1.31E-08
non-clustered_inv_100Kb-1Mb	1.20E-08	1.34E-08	1.31E-08
non-clustered_inv_1Mb-10Mb	1.20E-08	1.34E-08	1.31E-08
non-clustered_inv_>10Mb	1.20E-08	1.34E-08	1.31E-08
non-clustered_trans	2.62E-03	4.25E-03	3.19E-03
