MutationType	SV32A	SV32B	SV32C	SV32D
clustered_del_1-10Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_del_10-100Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_del_100Kb-1Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_del_1Mb-10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_del_>10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_tds_1-10Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_tds_10-100Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_tds_100Kb-1Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_tds_1Mb-10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_tds_>10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_inv_1-10Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_inv_10-100Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_inv_100Kb-1Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_inv_1Mb-10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_inv_>10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
clustered_trans	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
non-clustered_del_1-10Kb	0.015254223334916599	0.0073209764261314356	0.04045293283907551	0.050770379096904523
non-clustered_del_10-100Kb	0.021003244828887355	0.14724355006139947	0.028476689956670007	0.026588172643620227
non-clustered_del_100Kb-1Mb	0.016801334519396926	0.007266568883645992	0.042760240466512014	0.04328646135464513
non-clustered_del_1Mb-10Mb	0.02321373420355542	0.03744471841657139	0.053569968186493414	0.07391776254786538
non-clustered_del_>10Mb	0.7443750090599061	0.4503886265096047	0.43731242798005915	0.19019274265176078
non-clustered_tds_1-10Kb	0.0038839807703183	0.006928133958104688	0.00997411987690478	0.008206945320015166
non-clustered_tds_10-100Kb	0.023780937980104375	0.006725281851176221	0.016567580883263686	0.0068747877553422595
non-clustered_tds_100Kb-1Mb	0.0030172758160223693	0.018139930816900122	0.013430323578537191	0.02144409476028295
non-clustered_tds_1Mb-10Mb	0.007640988207254191	0.006719726006552402	0.024041485940445383	0.019928427482486563
non-clustered_tds_>10Mb	0.031298006902894936	0.1480560620780672	0.028416632097735938	0.0323075902486789
non-clustered_inv_1-10Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
non-clustered_inv_10-100Kb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
non-clustered_inv_100Kb-1Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
non-clustered_inv_1Mb-10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
non-clustered_inv_>10Mb	5.752290707050633e-06	5.213063987639544e-06	5.521610542018607e-06	5.553834579586692e-06
non-clustered_trans	0.10961046677232805	0.163656952104722	0.3048816420460927	0.5263660054523498
