MutationType	SV32A	SV32B	SV32C	SV32D
clustered_del_1-10Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_del_10-100Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_del_100Kb-1Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_del_1Mb-10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_del_>10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_tds_1-10Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_tds_10-100Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_tds_100Kb-1Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_tds_1Mb-10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_tds_>10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_inv_1-10Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_inv_10-100Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_inv_100Kb-1Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_inv_1Mb-10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_inv_>10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
clustered_trans	1.44E-08	1.99E-08	1.64E-08	2.15E-08
non-clustered_del_1-10Kb	1.27E-03	8.90E-04	2.05E-03	2.18E-03
non-clustered_del_10-100Kb	1.54E-03	4.09E-03	1.94E-03	2.21E-03
non-clustered_del_100Kb-1Mb	1.40E-03	8.52E-04	1.96E-03	2.05E-03
non-clustered_del_1Mb-10Mb	1.84E-03	2.19E-03	2.75E-03	3.07E-03
non-clustered_del_>10Mb	3.99E-03	5.51E-03	4.57E-03	4.45E-03
non-clustered_tds_1-10Kb	5.06E-04	6.64E-04	8.67E-04	6.83E-04
non-clustered_tds_10-100Kb	1.35E-03	7.08E-04	1.15E-03	8.10E-04
non-clustered_tds_100Kb-1Mb	5.28E-04	1.26E-03	1.04E-03	1.30E-03
non-clustered_tds_1Mb-10Mb	7.14E-04	6.82E-04	1.37E-03	1.23E-03
non-clustered_tds_>10Mb	1.75E-03	4.35E-03	2.07E-03	2.53E-03
non-clustered_inv_1-10Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
non-clustered_inv_10-100Kb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
non-clustered_inv_100Kb-1Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
non-clustered_inv_1Mb-10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
non-clustered_inv_>10Mb	1.44E-08	1.99E-08	1.64E-08	2.15E-08
non-clustered_trans	2.70E-03	3.47E-03	3.68E-03	5.02E-03
