Samples	SV32A	SV32B	SV32C	SV32D	SV32E
Synthetic_Patient1	1.13E-01	1.73E-01	1.34E-01	1.15E-01	2.05E-01
Synthetic_Patient10	1.33E-01	1.56E-01	1.92E-01	1.40E-01	1.54E-01
Synthetic_Patient2	1.76E-01	1.24E-01	1.52E-01	7.98E-02	1.10E-01
Synthetic_Patient3	1.55E-01	1.89E-01	1.31E-01	8.86E-02	1.30E-01
Synthetic_Patient4	1.26E-01	1.49E-01	1.83E-01	1.92E-01	2.07E-01
Synthetic_Patient5	1.86E-01	2.30E-01	1.17E-01	5.85E-02	1.33E-01
Synthetic_Patient6	1.97E-01	1.70E-01	2.38E-01	1.45E-01	1.60E-01
Synthetic_Patient7	8.70E-02	3.51E-02	1.57E-01	1.85E-01	1.44E-01
Synthetic_Patient8	1.86E-01	9.50E-02	2.17E-01	1.26E-01	1.26E-01
Synthetic_Patient9	2.12E-01	1.51E-01	1.68E-01	5.71E-02	1.02E-01
