MutationType	SV32A	SV32B	SV32C	SV32D	SV32E
clustered_del_1-10Kb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.61277757460843e-06	5.222929405230059e-06
clustered_del_10-100Kb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573698935e-06	5.222929405230059e-06
clustered_del_100Kb-1Mb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.6127775745800075e-06	5.222929405230059e-06
clustered_del_1Mb-10Mb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573624328e-06	5.222929405230059e-06
clustered_del_>10Mb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573698935e-06	5.222929405230059e-06
clustered_tds_1-10Kb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573691829e-06	5.222929405230059e-06
clustered_tds_10-100Kb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777574601324e-06	5.222929405230059e-06
clustered_tds_100Kb-1Mb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777574604877e-06	5.222929405230059e-06
clustered_tds_1Mb-10Mb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777574643957e-06	5.222929405230059e-06
clustered_tds_>10Mb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.61277757460843e-06	5.222929405230059e-06
clustered_inv_1-10Kb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573460903e-06	5.222929405230059e-06
clustered_inv_10-100Kb	5.838078873239283e-06	5.1112193546885006e-06	5.54929293917894e-06	5.612777573215766e-06	5.222929405230059e-06
clustered_inv_100Kb-1Mb	5.838078872784536e-06	5.1112193546885006e-06	5.54929293917894e-06	5.612777574153682e-06	5.222929405230059e-06
clustered_inv_1Mb-10Mb	5.838078872784536e-06	5.1112193546885006e-06	5.54929293917894e-06	5.612777574153682e-06	5.222929405230059e-06
clustered_inv_>10Mb	5.838078873239283e-06	5.1112193546885006e-06	5.54929293917894e-06	5.6127775732370825e-06	5.222929405230059e-06
clustered_trans	5.838078872784536e-06	5.1112193546885006e-06	5.54929293917894e-06	5.6127775741465765e-06	5.222929405230059e-06
non-clustered_del_1-10Kb	0.01615091477373462	0.009090238706913407	0.040085741634149075	0.06190927790851789	0.026683808750752023
non-clustered_del_10-100Kb	0.005339647574165397	0.1661544287237769	0.016876161236295154	0.01932724586738787	0.07663685559645836
non-clustered_del_100Kb-1Mb	0.013265505168215877	0.009628770100195014	0.05299596817614786	0.04876691596495858	0.02161629563691222
non-clustered_del_1Mb-10Mb	0.019497392177036808	0.02863841650140853	0.0669472340419945	0.062441470980880785	0.06178647791489689
non-clustered_del_>10Mb	0.7800813181400299	0.5356920899122488	0.48391289183274877	0.1502214862083668	0.2674137381206753
non-clustered_tds_1-10Kb	0.0024078940655791873	0.006833403191386716	0.012013821248139947	0.007918625589739344	0.010085482675203733
non-clustered_tds_10-100Kb	0.026689713129439147	0.007768110535861247	0.021359967214309057	0.008880139312063025	0.0075032491108136855
non-clustered_tds_100Kb-1Mb	0.002189423220526647	0.009186841659836464	0.008533703839076392	0.01788659822454036	0.03657969184613528
non-clustered_tds_1Mb-10Mb	0.008979850411601951	0.00992905048671668	0.020805279929879555	0.02076905935772447	0.0182320521296529
non-clustered_tds_>10Mb	0.029069420838467735	0.10002768608816202	0.016315807419798496	0.012238328872062759	0.14689828665443866
non-clustered_inv_1-10Kb	5.838078872784536e-06	5.1112193546885006e-06	5.54929293917894e-06	5.61277757415013e-06	5.222929405230059e-06
non-clustered_inv_10-100Kb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573610117e-06	5.222929405230059e-06
non-clustered_inv_100Kb-1Mb	5.8380788723297885e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777573698935e-06	5.222929405230059e-06
non-clustered_inv_1Mb-10Mb	5.838078872784536e-06	5.1112193546885006e-06	5.54929293917894e-06	5.612777574189209e-06	5.222929405230059e-06
non-clustered_inv_>10Mb	5.838078871875041e-06	5.1112193546885006e-06	5.549292939633688e-06	5.612777574604877e-06	5.222929405230059e-06
non-clustered_trans	0.09620631704936138	0.1169436274605844	0.2600368811182794	0.5895229831635952	0.32645437282573325
