MutationType	SV32A	SV32B	SV32C	SV32D	SV32E
clustered_del_1-10Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_del_10-100Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_del_100Kb-1Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_del_1Mb-10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_del_>10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_tds_1-10Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_tds_10-100Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_tds_100Kb-1Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_tds_1Mb-10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_tds_>10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_inv_1-10Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_inv_10-100Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_inv_100Kb-1Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_inv_1Mb-10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_inv_>10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
clustered_trans	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
non-clustered_del_1-10Kb	1.48E-03	1.12E-03	2.44E-03	3.04E-03	2.08E-03
non-clustered_del_10-100Kb	7.19E-04	4.64E-03	1.38E-03	2.20E-03	4.28E-03
non-clustered_del_100Kb-1Mb	1.43E-03	1.29E-03	2.55E-03	2.67E-03	1.85E-03
non-clustered_del_1Mb-10Mb	1.82E-03	2.19E-03	3.40E-03	3.16E-03	3.52E-03
non-clustered_del_>10Mb	4.14E-03	4.93E-03	4.90E-03	4.37E-03	5.19E-03
non-clustered_tds_1-10Kb	3.92E-04	7.85E-04	1.04E-03	8.31E-04	1.05E-03
non-clustered_tds_10-100Kb	1.57E-03	8.36E-04	1.51E-03	1.48E-03	9.51E-04
non-clustered_tds_100Kb-1Mb	4.64E-04	9.35E-04	8.93E-04	1.41E-03	1.91E-03
non-clustered_tds_1Mb-10Mb	9.56E-04	1.09E-03	1.45E-03	1.46E-03	1.31E-03
non-clustered_tds_>10Mb	1.92E-03	3.74E-03	1.51E-03	1.47E-03	5.70E-03
non-clustered_inv_1-10Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
non-clustered_inv_10-100Kb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
non-clustered_inv_100Kb-1Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
non-clustered_inv_1Mb-10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
non-clustered_inv_>10Mb	1.66E-08	2.60E-08	2.15E-08	2.81E-08	2.88E-08
non-clustered_trans	2.70E-03	3.02E-03	3.86E-03	5.54E-03	4.63E-03
