Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
Synthetic_Patient1	1.11E-01	1.01E-01	1.17E-01	1.34E-01	1.86E-01	1.10E-01
Synthetic_Patient10	1.17E-01	1.25E-01	1.64E-01	1.43E-01	1.35E-01	1.61E-01
Synthetic_Patient2	1.63E-01	7.04E-02	1.41E-01	9.67E-02	8.47E-02	1.26E-01
Synthetic_Patient3	1.40E-01	7.87E-02	1.21E-01	1.75E-01	1.10E-01	1.16E-01
Synthetic_Patient4	1.09E-01	1.69E-01	1.48E-01	1.34E-01	1.66E-01	2.03E-01
Synthetic_Patient5	1.78E-01	5.06E-02	1.34E-01	2.18E-01	1.36E-01	7.48E-02
Synthetic_Patient6	1.64E-01	1.24E-01	1.97E-01	1.60E-01	6.71E-02	2.24E-01
Synthetic_Patient7	6.49E-02	1.78E-01	1.12E-01	2.74E-02	9.22E-02	1.79E-01
Synthetic_Patient8	1.63E-01	1.05E-01	2.07E-01	5.25E-02	8.84E-02	1.62E-01
Synthetic_Patient9	2.06E-01	4.86E-02	1.84E-01	1.07E-01	9.48E-02	1.30E-01
