MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	5.8658784972749345e-06	5.697276632608389e-06	5.483389955031726e-06	4.861173289891429e-06	5.205765308014866e-06	5.462152570089529e-06
clustered_del_10-100Kb	5.8658784972749345e-06	5.697276632608389e-06	5.483389955031726e-06	4.8611732898914295e-06	5.20576530994754e-06	5.462152569521095e-06
clustered_del_100Kb-1Mb	5.8658784972749345e-06	5.697276633972631e-06	5.483389954008544e-06	4.861173289664056e-06	5.205765309038041e-06	5.462152569521095e-06
clustered_del_1Mb-10Mb	5.865878498184429e-06	5.697276632153641e-06	5.483389954576978e-06	4.861173289891428e-06	5.2057653081285535e-06	5.462152569634782e-06
clustered_del_>10Mb	5.865878496820187e-06	5.697276631698894e-06	5.483389956168594e-06	4.86117328989143e-06	5.205765308355927e-06	5.46215257043059e-06
clustered_tds_1-10Kb	5.865878497729682e-06	5.697276632153641e-06	5.483389955486473e-06	4.861173289891411e-06	5.205765307901178e-06	5.46215257043059e-06
clustered_tds_10-100Kb	5.8658784972749345e-06	5.697276633972631e-06	5.483389954008544e-06	4.861173289209307e-06	5.205765309833852e-06	5.462152570089529e-06
clustered_tds_100Kb-1Mb	5.8658784972749345e-06	5.697276631698894e-06	5.483389955713846e-06	4.861173288981926e-06	5.205765308810675e-06	5.462152569521095e-06
clustered_tds_1Mb-10Mb	5.865878496820187e-06	5.6972766335178835e-06	5.483389954235918e-06	4.861173289664053e-06	5.205765309947544e-06	5.4621525690663474e-06
clustered_tds_>10Mb	5.8658784972749345e-06	5.697276632608389e-06	5.483389954576978e-06	4.861173290346171e-06	5.205765309379109e-06	5.46215257043059e-06
clustered_inv_1-10Kb	5.865878497729682e-06	5.697276633063136e-06	5.483389955031726e-06	4.861173288527186e-06	5.205765309038043e-06	5.462152569521095e-06
clustered_inv_10-100Kb	5.8658784972749345e-06	5.697276632153641e-06	5.483389956168594e-06	4.861173288527185e-06	5.205765308355924e-06	5.462152569975842e-06
clustered_inv_100Kb-1Mb	5.865878497729682e-06	5.697276631698894e-06	5.483389955259099e-06	4.861173288981922e-06	5.205765308355925e-06	5.462152569521095e-06
clustered_inv_1Mb-10Mb	5.865878496820187e-06	5.697276631698894e-06	5.483389956168594e-06	4.8611732894366795e-06	5.205765309720159e-06	5.46215257043059e-06
clustered_inv_>10Mb	5.86587849636544e-06	5.697276633972631e-06	5.48338995560016e-06	4.861173288299812e-06	5.205765309265417e-06	5.462152569521095e-06
clustered_trans	5.865878497729682e-06	5.697276633972631e-06	5.4833899549180385e-06	4.861173289209307e-06	5.205765308355934e-06	5.462152569975842e-06
non-clustered_del_1-10Kb	0.020712043836873736	0.0655789675817535	0.02255476445786811	0.013674959512055248	0.011703048243632967	0.0615745045496072
non-clustered_del_10-100Kb	0.003387953026995299	0.020026901566316514	0.007195968971235898	0.2391872781036451	0.06576782618329903	0.01787115581312157
non-clustered_del_100Kb-1Mb	0.008173548931900832	0.04763725696165021	0.05090108174757353	0.01065278508380824	0.014020585829806115	0.051273942434354985
non-clustered_del_1Mb-10Mb	0.008303029817209808	0.056277899429815606	0.10450515665017235	0.02021053880757386	0.07864243365080281	0.030723521326036517
non-clustered_del_>10Mb	0.8096741381883621	0.11603363555594927	0.5691696375688144	0.48997233569650633	0.2365626649109299	0.38197534244013365
non-clustered_tds_1-10Kb	0.0018251613984059745	0.008942089571745299	0.010495895381699415	0.007836887751194312	0.00979132716095824	0.010121159560908899
non-clustered_tds_10-100Kb	0.023509885896691438	0.005563834385674784	0.024145647506288746	0.011176547589696348	0.005470822674868701	0.024080405355661364
non-clustered_tds_100Kb-1Mb	0.0031463710250669115	0.01745340861869541	0.009066539593578407	0.007613607665612559	0.04294635910925049	0.013544100659897992
non-clustered_tds_1Mb-10Mb	0.00767499788638404	0.019630640009878783	0.014658254855650291	0.012794886225822293	0.011077442970151086	0.034789672992367224
non-clustered_tds_>10Mb	0.04712683200548225	0.009207955638235541	0.01615195332245055	0.06348304925319992	0.2299688506294373	0.009238868532666566
non-clustered_inv_1-10Kb	5.865878496820187e-06	5.697276634427378e-06	5.483389955372786e-06	4.861173289209309e-06	5.205765309379109e-06	5.462152569975842e-06
non-clustered_inv_10-100Kb	5.865878497729682e-06	5.697276632153641e-06	5.483389955486473e-06	4.861173289891422e-06	5.2057653084696105e-06	5.462152570885337e-06
non-clustered_inv_100Kb-1Mb	5.86587849636544e-06	5.6972766335178835e-06	5.483389954690665e-06	4.861173289664055e-06	5.205765308469614e-06	5.462152569634782e-06
non-clustered_inv_1Mb-10Mb	5.8658784972749345e-06	5.697276632153641e-06	5.483389955031726e-06	4.861173290346175e-06	5.205765308014874e-06	5.46215257043059e-06
non-clustered_inv_>10Mb	5.8658784972749345e-06	5.697276633972631e-06	5.483389954463291e-06	4.861173289664056e-06	5.205765309379105e-06	5.462152569521095e-06
non-clustered_trans	0.06634284773382325	0.633527772270143	0.1710399505914893	0.12329504563809289	0.2939393214820011	0.3646926224112874
