MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_del_10-100Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_del_100Kb-1Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_del_1Mb-10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_del_>10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_tds_1-10Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_tds_10-100Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_tds_100Kb-1Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_tds_1Mb-10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_tds_>10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_inv_1-10Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_inv_10-100Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_inv_100Kb-1Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_inv_1Mb-10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_inv_>10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
clustered_trans	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
non-clustered_del_1-10Kb	2.01E-03	3.40E-03	1.93E-03	1.76E-03	1.73E-03	3.40E-03
non-clustered_del_10-100Kb	5.92E-04	2.19E-03	7.88E-04	5.88E-03	3.95E-03	1.44E-03
non-clustered_del_100Kb-1Mb	1.08E-03	2.73E-03	2.96E-03	1.61E-03	1.74E-03	2.83E-03
non-clustered_del_1Mb-10Mb	1.08E-03	3.29E-03	4.63E-03	1.75E-03	4.62E-03	2.09E-03
non-clustered_del_>10Mb	4.34E-03	4.05E-03	5.38E-03	6.16E-03	5.69E-03	5.25E-03
non-clustered_tds_1-10Kb	3.49E-04	9.95E-04	1.07E-03	8.72E-04	1.08E-03	1.18E-03
non-clustered_tds_10-100Kb	1.58E-03	8.71E-04	1.84E-03	1.46E-03	1.13E-03	1.87E-03
non-clustered_tds_100Kb-1Mb	6.75E-04	1.67E-03	1.04E-03	1.03E-03	2.22E-03	1.31E-03
non-clustered_tds_1Mb-10Mb	9.84E-04	1.62E-03	1.29E-03	1.46E-03	1.36E-03	1.95E-03
non-clustered_tds_>10Mb	2.82E-03	1.18E-03	1.54E-03	3.10E-03	6.39E-03	1.08E-03
non-clustered_inv_1-10Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
non-clustered_inv_10-100Kb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
non-clustered_inv_100Kb-1Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
non-clustered_inv_1Mb-10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
non-clustered_inv_>10Mb	2.28E-08	3.75E-08	2.85E-08	3.58E-08	3.66E-08	3.27E-08
non-clustered_trans	2.45E-03	5.83E-03	3.61E-03	3.56E-03	5.64E-03	4.59E-03
