NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2.041	11.356	1.106	10.568	0.055	0.992	6000.0
2	1.792	9.88	0.97	7.885	0.038	0.996	6000.0
3	1.397	7.892	0.832	7.315	0.019	0.997	10000.0
4	2.405	13.786	1.301	11.662	0.068	0.989	6000.0
5	2.391	13.226	1.326	11.351	0.043	0.994	6000.0
6	1.994	11.188	1.021	8.884	0.041	0.995	6000.0
7	1.243	6.745	0.746	6.645	0.034	0.997	6000.0
8	1.834	10.212	0.9	8.072	0.044	0.996	6000.0
9	1.876	10.752	0.968	9.13	0.041	0.994	6000.0
10	1.589	9.159	0.929	8.732	0.034	0.994	6000.0
11	1.85	10.53	0.996	9.51	0.03	0.994	9000.0
12	2.369	12.953	1.207	10.824	0.048	0.993	6000.0
13	2.243	13.196	1.212	10.998	0.037	0.991	6000.0
14	2.524	14.275	1.284	11.994	0.04	0.99	6000.0
15	2.268	12.813	1.147	10.068	0.049	0.994	6000.0
16	1.709	9.286	0.976	9.372	0.041	0.992	6000.0
17	2.573	14.698	1.303	12.55	0.041	0.988	6000.0
18	1.812	9.687	0.979	8.423	0.031	0.994	6000.0
19	2.753	15.6	1.357	12.61	0.057	0.992	6000.0
20	1.104	6.017	0.593	5.154	0.016	0.998	6000.0
21	0.462	2.596	0.233	2.408	0.011	0.998	6000.0
22	2.634	14.957	1.295	12.103	0.06	0.992	6000.0
23	3.143	18.033	1.671	15.274	0.054	0.986	6000.0
24	2.064	11.63	1.005	9.575	0.042	0.994	6000.0
25	1.255	6.86	0.69	6.491	0.037	0.996	6000.0
26	2.182	12.283	1.135	10.002	0.033	0.995	6000.0
27	2.312	13.187	1.141	11.708	0.054	0.99	6000.0
28	2.791	15.771	1.508	13.605	0.063	0.989	6000.0
29	2.493	14.133	1.214	11.454	0.045	0.992	6000.0
30	1.907	10.701	0.997	8.206	0.035	0.996	6000.0
31	2.243	12.752	1.281	12.251	0.06	0.987	6000.0
32	2.444	13.928	1.173	11.137	0.054	0.992	6000.0
33	1.88	10.82	1.049	9.933	0.027	0.992	6000.0
34	1.401	7.904	0.847	8.489	0.039	0.994	6000.0
35	2.894	16.408	1.626	15.429	0.048	0.985	6000.0
36	1.83	10.398	0.882	8.213	0.035	0.996	6000.0
37	2.196	12.4	1.151	10.535	0.044	0.993	6000.0
38	1.99	11.058	0.938	8.638	0.039	0.994	6000.0
39	1.845	10.469	0.906	8.305	0.035	0.996	6000.0
40	1.041	5.687	0.582	5.242	0.024	0.998	6000.0
41	0.944	5.23	0.552	4.454	0.01	0.999	6000.0
42	1.883	10.312	1.091	10.03	0.066	0.991	6000.0
43	2.622	14.166	1.312	11.657	0.062	0.991	6000.0
44	2.29	12.719	1.205	11.211	0.048	0.988	6000.0
45	3.437	18.656	1.68	15.273	0.06	0.987	6000.0
46	2.082	11.749	1.125	10.339	0.026	0.994	6000.0
47	0.917	4.859	0.511	4.808	0.026	0.997	6000.0
48	1.752	9.817	0.941	8.365	0.03	0.996	6000.0
49	2.78	15.616	1.336	12.323	0.051	0.992	6000.0
50	2.247	12.87	1.217	10.973	0.025	0.991	6000.0
51	1.232	6.838	0.691	6.016	0.031	0.998	6000.0
52	3.061	17.043	1.533	14.786	0.052	0.988	6000.0
53	1.373	7.711	0.711	6.647	0.03	0.995	6000.0
54	2.107	11.502	1.24	11.067	0.04	0.991	6000.0
55	2.12	12.03	1.168	11.139	0.032	0.992	6000.0
56	2.618	13.826	1.315	11.775	0.037	0.991	6000.0
57	1.689	9.626	0.886	8.662	0.035	0.993	7000.0
58	2.079	11.344	1.107	9.549	0.03	0.994	6000.0
59	3.139	17.451	1.541	14.214	0.072	0.987	6000.0
60	1.735	9.738	1.009	9.05	0.034	0.995	6000.0
61	1.194	6.788	0.723	6.508	0.026	0.997	6000.0
62	2.224	12.756	1.204	10.53	0.048	0.994	6000.0
63	1.743	9.979	0.922	8.458	0.025	0.996	6000.0
64	1.641	8.972	0.823	7.368	0.04	0.995	7000.0
65	2.671	15.222	1.474	14.466	0.048	0.984	6000.0
66	1.588	9.034	0.827	7.447	0.028	0.997	6000.0
67	2.251	12.64	1.244	12.512	0.073	0.988	6000.0
68	1.839	10.042	0.929	8.681	0.033	0.995	10000.0
69	1.546	8.653	0.784	7.266	0.02	0.997	6000.0
70	1.674	9.153	0.832	7.419	0.03	0.997	6000.0
71	2.0	11.165	0.997	8.91	0.033	0.995	6000.0
72	0.987	5.52	0.677	5.671	0.036	0.996	6000.0
73	1.952	11.289	1.1	9.865	0.052	0.992	6000.0
74	1.128	6.461	0.684	6.361	0.032	0.997	6000.0
75	1.639	9.071	0.898	7.786	0.025	0.996	6000.0
76	0.984	5.546	0.562	4.619	0.009	0.999	6000.0
77	1.931	11.059	1.078	9.682	0.025	0.995	6000.0
78	1.085	5.993	0.641	5.672	0.03	0.997	6000.0
79	1.851	10.501	0.985	9.491	0.025	0.994	6000.0
80	2.209	12.457	1.107	9.52	0.058	0.994	6000.0
81	2.152	12.082	1.086	10.43	0.045	0.992	6000.0
82	2.554	14.099	1.303	12.298	0.042	0.99	6000.0
83	1.781	10.681	0.998	8.855	0.026	0.995	6000.0
84	2.773	15.82	1.401	13.054	0.057	0.991	6000.0
85	1.683	9.227	0.985	8.608	0.035	0.994	6000.0
86	1.382	7.726	0.811	7.532	0.037	0.996	6000.0
87	2.828	15.967	1.408	13.475	0.046	0.989	6000.0
88	2.4	13.918	1.251	11.518	0.061	0.99	6000.0
89	1.783	9.75	0.89	7.792	0.025	0.997	7000.0
90	2.21	12.293	1.119	9.51	0.038	0.995	7000.0
91	1.584	8.85	0.789	6.718	0.026	0.997	6000.0
92	1.485	8.566	0.88	7.996	0.039	0.996	6000.0
93	1.733	9.634	0.953	9.502	0.028	0.994	6000.0
94	2.53	13.945	1.278	12.004	0.056	0.989	6000.0
95	1.658	9.569	0.886	7.727	0.026	0.996	6000.0
96	1.3	7.303	0.763	6.963	0.038	0.995	6000.0
97	1.68	9.786	0.854	7.976	0.024	0.996	7000.0
98	1.5	8.726	0.874	8.464	0.023	0.993	6000.0
99	1.518	8.522	0.803	7.612	0.024	0.995	7000.0
100	2.085	11.774	0.986	9.22	0.04	0.994	6000.0
101	2.021	11.375	1.074	10.085	0.04	0.993	6000.0
102	1.738	9.719	0.892	7.984	0.029	0.996	6000.0
103	2.162	12.25	1.243	11.592	0.03	0.993	6000.0
104	1.346	7.609	0.821	7.367	0.03	0.996	6000.0
105	1.973	11.27	0.995	9.43	0.039	0.992	6000.0
106	2.217	12.562	1.119	9.74	0.037	0.995	6000.0
107	1.857	10.371	0.929	8.849	0.033	0.995	9000.0
108	1.544	8.769	0.74	6.919	0.026	0.996	14000.0
109	1.852	10.348	1.028	9.018	0.039	0.994	6000.0
110	2.417	13.3	1.237	10.954	0.04	0.993	6000.0
111	1.77	9.871	0.896	7.749	0.027	0.997	6000.0
112	2.298	12.931	1.146	10.588	0.039	0.992	6000.0
113	1.416	8.001	0.799	6.719	0.025	0.997	17000.0
114	1.226	6.818	0.656	5.284	0.022	0.999	6000.0
115	2.445	13.723	1.26	12.611	0.038	0.989	6000.0
116	3.062	16.586	1.667	15.299	0.058	0.985	6000.0
117	2.123	11.56	1.126	9.976	0.029	0.992	6000.0
118	1.71	9.702	0.945	8.408	0.024	0.996	6000.0
119	1.329	7.479	0.746	7.596	0.023	0.996	6000.0
120	1.812	10.195	0.903	8.345	0.028	0.996	6000.0
121	2.139	12.169	1.018	9.231	0.039	0.995	6000.0
