Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
Synthetic_Patient1	7.61E-02	1.61E-01	1.00E-01	9.51E-02	1.13E-01	1.13E-01	1.69E-01
Synthetic_Patient10	1.06E-01	1.27E-01	1.50E-01	1.13E-01	1.21E-01	1.54E-01	1.22E-01
Synthetic_Patient2	1.62E-01	1.61E-01	1.26E-01	6.21E-02	3.65E-02	9.41E-02	6.25E-02
Synthetic_Patient3	1.34E-01	1.26E-01	1.09E-01	7.19E-02	1.58E-01	8.63E-02	8.50E-02
Synthetic_Patient4	1.05E-01	1.17E-01	1.85E-01	1.52E-01	1.11E-01	1.29E-01	1.79E-01
Synthetic_Patient5	1.58E-01	1.70E-01	6.84E-02	4.54E-02	1.94E-01	1.20E-01	9.15E-02
Synthetic_Patient6	1.70E-01	1.38E-01	1.96E-01	1.14E-01	1.24E-01	1.61E-01	1.08E-01
Synthetic_Patient7	6.71E-02	5.56E-02	1.57E-01	1.64E-01	2.02E-02	1.12E-01	1.15E-01
Synthetic_Patient8	1.66E-01	9.54E-02	1.34E-01	9.42E-02	3.40E-02	1.93E-01	8.09E-02
Synthetic_Patient9	1.99E-01	1.93E-01	1.25E-01	4.74E-02	4.30E-02	1.13E-01	6.93E-02
