MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
clustered_del_1-10Kb	5.782473834756274e-06	5.664343674162451e-06	5.444842727911237e-06	5.846243854734678e-06	4.517867085477507e-06	5.316586775085166e-06	5.212911743792873e-06
clustered_del_10-100Kb	5.782473833392033e-06	5.664343675366341e-06	5.444842729730226e-06	5.846243856517553e-06	4.517867086815382e-06	5.316586774531968e-06	5.212911743998198e-06
clustered_del_100Kb-1Mb	5.782473832482538e-06	5.664343686753018e-06	5.444842727683863e-06	5.846243849977354e-06	4.517867080154487e-06	5.316586797492696e-06	5.212911740370679e-06
clustered_del_1Mb-10Mb	5.782473835665769e-06	5.664343674804916e-06	5.444842728365984e-06	5.846243857890347e-06	4.51786708393463e-06	5.316586772524134e-06	5.2129117439996645e-06
clustered_del_>10Mb	5.782473830663548e-06	5.664343675162331e-06	5.444842728365984e-06	5.846243855487661e-06	4.517867088477608e-06	5.316586776084847e-06	5.212911748989885e-06
clustered_tds_1-10Kb	5.782473834756274e-06	5.664343674207754e-06	5.4448427299576e-06	5.84624385580527e-06	4.517867088650137e-06	5.316586764565261e-06	5.212911750125761e-06
clustered_tds_10-100Kb	5.782473835665769e-06	5.664343672244804e-06	5.444842724955379e-06	5.846243856629851e-06	4.517867086964816e-06	5.31658677008459e-06	5.212911747117112e-06
clustered_tds_100Kb-1Mb	5.782473835665769e-06	5.664343676020124e-06	5.444842727911237e-06	5.846243857851641e-06	4.5178670858889e-06	5.316586774870973e-06	5.21291174421145e-06
clustered_tds_1Mb-10Mb	5.782473833392033e-06	5.664343669470294e-06	5.444842729502852e-06	5.846243855026023e-06	4.517867084991729e-06	5.316586777079381e-06	5.212911749416648e-06
clustered_tds_>10Mb	5.782473833846779e-06	5.664343674260046e-06	5.4448427306397205e-06	5.84624385248321e-06	4.5178670833622545e-06	5.316586785190036e-06	5.212911743084669e-06
clustered_inv_1-10Kb	5.782473832937285e-06	5.664343671946542e-06	5.444842729048105e-06	5.846243853863043e-06	4.51786708485828e-06	5.316586777630494e-06	5.212911749698687e-06
clustered_inv_10-100Kb	5.7824738352110215e-06	5.664343672279374e-06	5.44484272813861e-06	5.846243858216581e-06	4.517867089680922e-06	5.316586773800896e-06	5.212911745362669e-06
clustered_inv_100Kb-1Mb	5.782473829754053e-06	5.664343678854059e-06	5.444842729730226e-06	5.846243855458107e-06	4.517867086939893e-06	5.316586778670008e-06	5.2129117467399355e-06
clustered_inv_1Mb-10Mb	5.7824738352110215e-06	5.664343673935181e-06	5.444842730412347e-06	5.846243855539208e-06	4.517867083507028e-06	5.316586774814084e-06	5.212911747193596e-06
clustered_inv_>10Mb	5.782473834074153e-06	5.664343672515025e-06	5.444842729275478e-06	5.846243856341831e-06	4.5178670845639046e-06	5.316586775973712e-06	5.212911744227769e-06
clustered_trans	5.782473834756274e-06	5.6643436749770414e-06	5.4448427285933575e-06	5.84624385671877e-06	4.517867086816769e-06	5.316586775320972e-06	5.212911745853789e-06
non-clustered_del_1-10Kb	0.021642025089379208	0.018466507178127214	0.06907115942944785	0.060519766729490256	0.006996943292913883	0.016329759679265258	0.03155306754568625
non-clustered_del_10-100Kb	0.008424120692297773	0.011764819493597154	0.014059868448370351	0.011974668907164277	0.3296981260831674	0.009676952854663665	0.034984177175058
non-clustered_del_100Kb-1Mb	0.012799319740072347	0.010218251808308494	0.04350897356038377	0.06037823138345776	0.012601263495042744	0.05532379278459038	0.027905973641625413
non-clustered_del_1Mb-10Mb	0.008544253787895592	0.009678501919417675	0.016935913252558887	0.05626253298289272	0.01878272131957884	0.1774229753061689	0.06215782578950241
non-clustered_del_>10Mb	0.8331071129590273	0.6118562690301359	0.4006562451660454	0.09786520848829239	0.38784187806814124	0.4940980892095033	0.17473073263359212
non-clustered_tds_1-10Kb	0.002003161278143136	0.005722897416007245	0.011233314294013762	0.010351528956042109	0.008911083055399897	0.014966232736641622	0.011679428098552361
non-clustered_tds_10-100Kb	0.027392393103771083	0.029958603774157447	0.02726992929150621	0.00596549060754561	0.005502582655794202	0.013385519696843802	0.011467910308581325
non-clustered_tds_100Kb-1Mb	0.002281832752633539	0.011135346908777504	0.015350662912311349	0.011839980914609293	0.009312594308395856	0.01163347967117981	0.05405278900839848
non-clustered_tds_1Mb-10Mb	0.010933840275176717	0.009245978159037072	0.03680016123175315	0.015408382361800076	0.011131931139831925	0.01264169634672773	0.024820136332182014
non-clustered_tds_>10Mb	0.007741858209355048	0.17001380552943668	0.011238209133500088	0.004308002779616433	0.06080678084299268	0.012739206114452482	0.18021173414030903
non-clustered_inv_1-10Kb	5.782473835665769e-06	5.664343673790456e-06	5.444842728820732e-06	5.846243856818069e-06	4.5178670866285304e-06	5.316586765863988e-06	5.212911747856542e-06
non-clustered_inv_10-100Kb	5.782473834756274e-06	5.664343672055621e-06	5.4448427285933575e-06	5.846243858239244e-06	4.517867087478851e-06	5.316586773537703e-06	5.212911748509832e-06
non-clustered_inv_100Kb-1Mb	5.782473837030011e-06	5.664343671162086e-06	5.444842727001742e-06	5.846243856550659e-06	4.517867085956179e-06	5.316586766192635e-06	5.212911744069563e-06
non-clustered_inv_1Mb-10Mb	5.782473836120516e-06	5.66434367183509e-06	5.444842731549215e-06	5.846243855177606e-06	4.517867058842979e-06	5.316586775639354e-06	5.2129117469528635e-06
non-clustered_inv_>10Mb	5.7824738352110215e-06	5.664343671913187e-06	5.444842727456489e-06	5.84624385608597e-06	4.517867089653333e-06	5.3165867709232694e-06	5.2129117467307986e-06
non-clustered_trans	0.06500864495707065	0.11182006610831172	0.35376121952804096	0.6650034366883337	0.14831921234233816	0.18167065039452726	0.38632675522417503
