MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
clustered_del_1-10Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_del_10-100Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_del_100Kb-1Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_del_1Mb-10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_del_>10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_tds_1-10Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_tds_10-100Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_tds_100Kb-1Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_tds_1Mb-10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_tds_>10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_inv_1-10Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_inv_10-100Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_inv_100Kb-1Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_inv_1Mb-10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_inv_>10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
clustered_trans	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
non-clustered_del_1-10Kb	1.94E-03	1.82E-03	3.63E-03	3.30E-03	1.46E-03	1.97E-03	2.78E-03
non-clustered_del_10-100Kb	1.07E-03	1.23E-03	1.18E-03	1.58E-03	6.37E-03	1.00E-03	2.44E-03
non-clustered_del_100Kb-1Mb	1.45E-03	1.33E-03	2.76E-03	3.41E-03	2.45E-03	3.06E-03	3.01E-03
non-clustered_del_1Mb-10Mb	1.09E-03	1.08E-03	1.46E-03	3.44E-03	1.73E-03	6.11E-03	3.78E-03
non-clustered_del_>10Mb	4.53E-03	5.44E-03	5.38E-03	3.62E-03	7.31E-03	6.30E-03	4.72E-03
non-clustered_tds_1-10Kb	5.61E-04	8.74E-04	1.31E-03	1.36E-03	1.15E-03	1.29E-03	1.40E-03
non-clustered_tds_10-100Kb	1.85E-03	2.51E-03	2.54E-03	1.08E-03	1.12E-03	1.54E-03	2.11E-03
non-clustered_tds_100Kb-1Mb	6.80E-04	1.25E-03	1.76E-03	1.30E-03	1.26E-03	1.36E-03	2.95E-03
non-clustered_tds_1Mb-10Mb	1.24E-03	1.12E-03	2.28E-03	1.55E-03	1.65E-03	1.27E-03	2.20E-03
non-clustered_tds_>10Mb	9.26E-04	5.55E-03	1.16E-03	7.65E-04	3.42E-03	1.42E-03	7.07E-03
non-clustered_inv_1-10Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
non-clustered_inv_10-100Kb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
non-clustered_inv_100Kb-1Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
non-clustered_inv_1Mb-10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
non-clustered_inv_>10Mb	3.04E-08	3.96E-08	4.04E-08	4.12E-08	4.67E-08	3.69E-08	4.99E-08
non-clustered_trans	2.44E-03	3.47E-03	4.84E-03	5.89E-03	4.52E-03	4.14E-03	5.66E-03
