Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
Synthetic_Patient1	6.95E-02	9.81E-02	8.63E-02	9.17E-02	1.52E-01	8.66E-02	1.11E-01	1.10E-01
Synthetic_Patient10	9.87E-02	9.77E-02	1.27E-01	1.06E-01	9.66E-02	1.35E-01	1.20E-01	1.40E-01
Synthetic_Patient2	1.48E-01	6.50E-02	1.39E-01	1.41E-02	1.04E-01	1.01E-01	4.45E-02	1.10E-01
Synthetic_Patient3	1.25E-01	7.99E-02	1.12E-01	1.38E-01	9.62E-02	7.74E-02	5.59E-02	9.70E-02
Synthetic_Patient4	8.89E-02	1.44E-01	1.52E-01	9.75E-02	9.61E-02	1.06E-01	1.60E-01	1.70E-01
Synthetic_Patient5	1.52E-01	4.69E-02	1.07E-01	1.75E-01	1.40E-01	1.22E-01	6.04E-02	5.91E-02
Synthetic_Patient6	1.36E-01	1.11E-01	1.94E-01	1.11E-01	2.33E-02	1.43E-01	7.19E-02	1.63E-01
Synthetic_Patient7	5.42E-02	1.53E-01	1.01E-01	9.82E-03	1.49E-02	8.05E-02	1.46E-01	1.45E-01
Synthetic_Patient8	1.39E-01	7.07E-02	1.26E-01	1.13E-02	1.94E-02	1.80E-01	1.23E-01	1.15E-01
Synthetic_Patient9	1.78E-01	5.23E-02	1.68E-01	3.72E-02	1.08E-01	1.42E-01	4.08E-02	9.79E-02
