MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
clustered_del_1-10Kb	5.967194526876462e-06	5.894622812743637e-06	5.4713091950252315e-06	4.273155046087978e-06	5.487190222152008e-06	5.3170667485024646e-06	5.225787947910719e-06	5.483308192005546e-06
clustered_del_10-100Kb	5.9671746234109204e-06	5.894623572849144e-06	5.471318215929999e-06	4.273155277886567e-06	5.4872013395875694e-06	5.31706742975971e-06	5.225785630941799e-06	5.483311232957881e-06
clustered_del_100Kb-1Mb	5.9671885736208e-06	5.894624344546555e-06	5.471311319166187e-06	4.273155069411335e-06	5.4871939505681796e-06	5.317066242237042e-06	5.2257872019422814e-06	5.48330889106577e-06
clustered_del_1Mb-10Mb	5.967189880550474e-06	5.894623329561171e-06	5.471310489131895e-06	4.2731554435143475e-06	5.4871918594978216e-06	5.317066897369578e-06	5.2257880047120075e-06	5.4833086806313595e-06
clustered_del_>10Mb	5.967198066003664e-06	5.894622028980814e-06	5.471307142065354e-06	4.273155410492479e-06	5.4871875923760916e-06	5.317066639711297e-06	5.225790914055213e-06	5.483307633462083e-06
clustered_tds_1-10Kb	5.967207905339249e-06	5.894624518181707e-06	5.471303121320986e-06	4.27315406105121e-06	5.487183162738867e-06	5.317066049933442e-06	5.225787675461096e-06	5.4833062616028785e-06
clustered_tds_10-100Kb	5.967185247448568e-06	5.894622687358711e-06	5.471314161404163e-06	4.273153565358059e-06	5.48719602885579e-06	5.3170669658272e-06	5.225787859516783e-06	5.4833098516058665e-06
clustered_tds_100Kb-1Mb	5.967189088861983e-06	5.894623898531301e-06	5.471311740623975e-06	4.273154691916808e-06	5.487193510031751e-06	5.317066947690806e-06	5.225786646978411e-06	5.4833090841628954e-06
clustered_tds_1Mb-10Mb	5.9671934255560945e-06	5.894623751432843e-06	5.471308772487408e-06	4.273154019823275e-06	5.487189652835962e-06	5.3170666908580244e-06	5.2257885654571e-06	5.4833080482483755e-06
clustered_tds_>10Mb	5.967192738156181e-06	5.894624316813082e-06	5.471310283938766e-06	4.273154494388925e-06	5.487191944166287e-06	5.317066776237937e-06	5.225786290825842e-06	5.4833085582476585e-06
clustered_inv_1-10Kb	5.967194296702366e-06	5.894623747469695e-06	5.471309094974426e-06	4.273154810451744e-06	5.487190288402201e-06	5.31706646230919e-06	5.2257870493004484e-06	5.483308148633866e-06
clustered_inv_10-100Kb	5.967198344073684e-06	5.894623159482122e-06	5.4713074769538405e-06	4.273155287676551e-06	5.487188231551977e-06	5.31706651290171e-06	5.225786748704557e-06	5.483307523356253e-06
clustered_inv_100Kb-1Mb	5.967195288501005e-06	5.894624731535565e-06	5.471308650036303e-06	4.273154732642039e-06	5.487190064325678e-06	5.317066580076755e-06	5.2257863433067506e-06	5.483308068825714e-06
clustered_inv_1Mb-10Mb	5.967192142761335e-06	5.894624130115442e-06	5.471310381413645e-06	4.273154686478119e-06	5.487191919239997e-06	5.317066872836234e-06	5.2257866913376884e-06	5.483308518627795e-06
clustered_inv_>10Mb	5.967194326624199e-06	5.8946246656161905e-06	5.471308203602679e-06	4.2731548789137555e-06	5.487189244217337e-06	5.317066739593187e-06	5.225786803298503e-06	5.483307842304695e-06
clustered_trans	5.967191266963236e-06	5.8946232182312e-06	5.4713097284602194e-06	4.27315404818903e-06	5.487190710550331e-06	5.317066718858461e-06	5.225789178454087e-06	5.483308394254242e-06
