MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
clustered_del_1-10Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_del_10-100Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_del_100Kb-1Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_del_1Mb-10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_del_>10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_tds_1-10Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_tds_10-100Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_tds_100Kb-1Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_tds_1Mb-10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_tds_>10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_inv_1-10Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_inv_10-100Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_inv_100Kb-1Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_inv_1Mb-10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_inv_>10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
clustered_trans	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
non-clustered_del_1-10Kb	1.50E-03	3.85E-03	3.38E-03	1.78E-03	1.62E-03	2.44E-03	3.36E-03	3.99E-03
non-clustered_del_10-100Kb	9.82E-04	1.95E-03	1.28E-03	6.43E-03	2.12E-03	1.44E-03	1.71E-03	1.31E-03
non-clustered_del_100Kb-1Mb	1.03E-03	2.80E-03	2.52E-03	1.06E-03	6.16E-04	3.57E-03	3.61E-03	3.76E-03
non-clustered_del_1Mb-10Mb	6.40E-04	1.45E-03	1.15E-03	1.62E-03	2.04E-03	5.22E-03	6.89E-03	1.33E-03
non-clustered_del_>10Mb	3.85E-03	3.58E-03	5.58E-03	6.98E-03	7.20E-03	5.75E-03	4.44E-03	5.10E-03
non-clustered_tds_1-10Kb	4.97E-04	1.01E-03	1.11E-03	1.13E-03	9.26E-04	1.40E-03	1.60E-03	1.50E-03
non-clustered_tds_10-100Kb	1.78E-03	1.08E-03	2.54E-03	1.26E-03	1.32E-03	2.39E-03	1.60E-03	2.21E-03
non-clustered_tds_100Kb-1Mb	4.79E-04	1.73E-03	1.38E-03	1.44E-03	2.23E-03	1.44E-03	2.37E-03	2.10E-03
non-clustered_tds_1Mb-10Mb	8.56E-04	1.82E-03	2.11E-03	1.96E-03	8.04E-04	1.58E-03	1.85E-03	2.24E-03
non-clustered_tds_>10Mb	1.63E-03	1.68E-03	1.64E-03	2.49E-03	6.32E-03	1.58E-03	2.25E-03	1.42E-03
non-clustered_inv_1-10Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
non-clustered_inv_10-100Kb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
non-clustered_inv_100Kb-1Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
non-clustered_inv_1Mb-10Mb	4.66E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
non-clustered_inv_>10Mb	4.65E-08	5.74E-08	4.77E-08	5.66E-08	5.66E-08	5.26E-08	6.16E-08	5.67E-08
non-clustered_trans	1.88E-03	5.86E-03	4.05E-03	4.27E-03	4.58E-03	2.93E-03	5.72E-03	5.27E-03
