Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
Synthetic_Patient1	7.33E-02	8.99E-02	1.42E-01	9.11E-02	9.22E-02	9.97E-02	9.65E-02	8.20E-02	6.00E-02
Synthetic_Patient10	8.64E-02	1.34E-01	9.02E-02	9.47E-02	8.46E-02	1.24E-01	1.01E-01	1.14E-01	1.09E-01
Synthetic_Patient2	1.37E-01	8.87E-02	8.94E-02	5.83E-03	6.82E-02	3.36E-02	4.93E-02	1.11E-01	1.44E-01
Synthetic_Patient3	1.12E-01	1.01E-01	8.96E-02	1.33E-01	5.18E-02	2.90E-02	7.52E-02	9.71E-02	8.77E-02
Synthetic_Patient4	8.13E-02	1.44E-01	8.82E-02	8.91E-02	1.68E-01	1.15E-01	1.24E-01	1.14E-01	1.08E-01
Synthetic_Patient5	1.46E-01	6.23E-02	1.28E-01	1.61E-01	3.41E-02	9.16E-02	4.38E-02	8.58E-02	1.08E-01
Synthetic_Patient6	1.06E-01	1.47E-01	2.75E-02	9.52E-02	1.27E-01	6.05E-02	8.62E-02	1.71E-01	1.60E-01
Synthetic_Patient7	4.55E-02	1.35E-01	1.18E-02	1.49E-02	1.49E-01	9.19E-02	1.45E-01	6.17E-02	6.97E-02
Synthetic_Patient8	1.38E-01	1.03E-01	6.08E-03	2.23E-02	5.37E-02	1.58E-01	7.54E-02	1.13E-01	1.06E-01
Synthetic_Patient9	1.66E-01	9.06E-02	9.25E-02	1.48E-02	3.78E-02	2.93E-02	4.95E-02	1.79E-01	1.34E-01
