MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
clustered_del_1-10Kb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.41E-08	6.09E-08	7.58E-08
clustered_del_10-100Kb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.67E-08	8.26E-08	8.41E-08	6.09E-08	7.58E-08
clustered_del_100Kb-1Mb	5.50E-08	8.00E-08	7.97E-08	6.82E-08	7.69E-08	8.25E-08	8.42E-08	6.10E-08	7.58E-08
clustered_del_1Mb-10Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.67E-08	8.25E-08	8.41E-08	6.09E-08	7.58E-08
clustered_del_>10Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.41E-08	6.10E-08	7.58E-08
clustered_tds_1-10Kb	5.51E-08	8.02E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.43E-08	6.10E-08	7.60E-08
clustered_tds_10-100Kb	5.51E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.42E-08	6.10E-08	7.58E-08
clustered_tds_100Kb-1Mb	5.51E-08	8.02E-08	7.98E-08	6.82E-08	7.68E-08	8.28E-08	8.42E-08	6.09E-08	7.59E-08
clustered_tds_1Mb-10Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.41E-08	6.09E-08	7.58E-08
clustered_tds_>10Mb	5.50E-08	8.02E-08	7.98E-08	6.82E-08	7.68E-08	8.27E-08	8.41E-08	6.09E-08	7.59E-08
clustered_inv_1-10Kb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.27E-08	8.41E-08	6.09E-08	7.58E-08
clustered_inv_10-100Kb	5.50E-08	8.02E-08	7.97E-08	6.82E-08	7.68E-08	8.26E-08	8.41E-08	6.09E-08	7.59E-08
clustered_inv_100Kb-1Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.69E-08	8.26E-08	8.42E-08	6.10E-08	7.58E-08
clustered_inv_1Mb-10Mb	5.50E-08	8.01E-08	7.97E-08	6.82E-08	7.68E-08	8.26E-08	8.41E-08	6.10E-08	7.58E-08
clustered_inv_>10Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.41E-08	6.08E-08	7.59E-08
clustered_trans	5.50E-08	8.02E-08	7.97E-08	6.82E-08	7.68E-08	8.27E-08	8.41E-08	6.10E-08	7.58E-08
non-clustered_del_1-10Kb	5.18E-04	1.87E-03	1.05E-03	7.96E-04	5.53E-03	1.80E-03	1.40E-03	1.40E-03	3.90E-03
non-clustered_del_10-100Kb	8.64E-04	1.49E-03	2.22E-03	6.35E-03	1.80E-03	1.30E-03	2.01E-03	1.23E-03	1.93E-03
non-clustered_del_100Kb-1Mb	8.41E-04	4.72E-03	1.09E-03	1.71E-03	2.77E-03	3.27E-03	2.93E-03	1.71E-03	3.39E-03
non-clustered_del_1Mb-10Mb	1.03E-03	1.48E-03	1.75E-03	1.75E-03	2.24E-03	6.66E-03	2.85E-03	1.10E-03	1.49E-03
non-clustered_del_>10Mb	3.26E-03	5.15E-03	6.77E-03	6.90E-03	4.22E-03	6.97E-03	3.54E-03	5.29E-03	5.56E-03
non-clustered_tds_1-10Kb	4.18E-04	1.60E-03	1.14E-03	1.22E-03	1.08E-03	1.70E-03	1.18E-03	1.13E-03	1.29E-03
non-clustered_tds_10-100Kb	1.45E-03	1.87E-03	9.68E-04	1.10E-03	2.13E-03	6.24E-04	9.54E-04	3.43E-03	1.86E-03
non-clustered_tds_100Kb-1Mb	5.31E-04	1.53E-03	2.32E-03	1.34E-03	2.88E-03	2.05E-03	1.67E-03	1.56E-03	1.55E-03
non-clustered_tds_1Mb-10Mb	6.89E-04	1.82E-03	1.03E-03	1.58E-03	2.85E-03	1.73E-03	1.36E-03	1.72E-03	1.95E-03
non-clustered_tds_>10Mb	1.45E-03	1.48E-03	6.06E-03	2.72E-03	1.89E-03	1.53E-03	2.01E-03	1.81E-03	2.43E-03
non-clustered_inv_1-10Kb	5.50E-08	8.02E-08	7.98E-08	6.82E-08	7.68E-08	8.27E-08	8.41E-08	6.09E-08	7.58E-08
non-clustered_inv_10-100Kb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.25E-08	8.41E-08	6.10E-08	7.58E-08
non-clustered_inv_100Kb-1Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.23E-08	8.42E-08	6.09E-08	7.60E-08
non-clustered_inv_1Mb-10Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.25E-08	8.41E-08	6.09E-08	7.58E-08
non-clustered_inv_>10Mb	5.50E-08	8.01E-08	7.98E-08	6.82E-08	7.68E-08	8.26E-08	8.42E-08	6.09E-08	7.59E-08
non-clustered_trans	1.65E-03	5.32E-03	4.54E-03	4.19E-03	5.48E-03	5.10E-03	5.44E-03	4.05E-03	2.69E-03
