Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,29.23%,38.76%,67.96%,27.72%,53.71,0.2122,0.3256,0.039,0.149,0.957,0.837
2,0.55,0.34,NO,N/A,18.42%,27.39%,35.76%,16.85%,28.45,0.1735,0.2633,0.015,0.036,0.983,0.96
3,0.31,-0.16,NO,N/A,14.62%,24.35%,28.37%,14.42%,20.15,0.1449,0.2183,0.01,0.02,0.99,0.977
4,0.18,-0.24,NO,N/A,13.21%,22.74%,28.82%,12.93%,17.93,0.1323,0.1956,0.008,0.016,0.992,0.982
5,0.11,-0.28,NO,N/A,11.85%,19.3%,25.63%,12.17%,14.86,0.1175,0.1552,0.006,0.009,0.994,0.99
6,0.06,-0.28,NO,N/A,10.65%,16.97%,21.37%,10.94%,12.62,0.1028,0.1362,0.004,0.008,0.996,0.992
7,0.02,-0.3,NO,N/A,10.01%,17.25%,21.77%,10.23%,12.25,0.0971,0.1259,0.004,0.007,0.996,0.992
8,0.02,-0.4,NO,N/A,10.42%,15.23%,23.04%,9.97%,16.35,0.097,0.1342,0.004,0.007,0.996,0.992
9,0.0,-0.48,NO,N/A,9.57%,14.97%,19.73%,9.66%,12.7,0.0809,0.1056,0.003,0.006,0.997,0.994
10,0.0,-0.44,NO,N/A,8.08%,12.82%,19.31%,7.75%,11.53,0.0695,0.1027,0.003,0.004,0.997,0.995
