chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
2	22475563	22475563	9	37127017	37127017	Synthetic_Patient8	deletion	>10Mb	14651454	False
7	108099206	108099206	1	77297118	77297118	Synthetic_Patient8	deletion	>10Mb	30802088	False
5	126155382	126155382	2	87826934	87826934	Synthetic_Patient8	deletion	>10Mb	38328448	False
22	22475563	22475563	23	22141860	22141860	Synthetic_Patient8	deletion	100Kb-1Mb	333703	False
22	22475563	22475563	22	47477607	47477607	Synthetic_Patient8	deletion	>10Mb	25002044	False
5	37117122	37117122	14	47477607	47477607	Synthetic_Patient8	deletion	>10Mb	10360485	False
5	108099206	108099206	3	94280827	94280827	Synthetic_Patient8	deletion	>10Mb	13818379	False
1	142810844	142810844	3	87826934	87826934	Synthetic_Patient8	deletion	>10Mb	54983910	False
1	22151344	22151344	14	37127017	37127017	Synthetic_Patient8	translocation	0	14975673	False
3	103475291	103475291	8	94280827	94280827	Synthetic_Patient8	translocation	0	9194464	False
19	37117122	37117122	22	22141860	22141860	Synthetic_Patient8	deletion	>10Mb	14975262	False
22	154313845	154313845	5	163390319	163390319	Synthetic_Patient8	deletion	1Mb-10Mb	9076474	False
1	77287566	77287566	5	108189872	108189872	Synthetic_Patient8	deletion	>10Mb	30902306	False
5	77287566	77287566	5	127741498	127741498	Synthetic_Patient8	deletion	>10Mb	50453932	False
3	103475291	103475291	5	126170054	126170054	Synthetic_Patient8	translocation	0	22694763	False
14	47215854	47215854	13	22451049	22451049	Synthetic_Patient8	translocation	0	24764805	False
5	37117122	37117122	9	45337114	45337114	Synthetic_Patient8	deletion	1Mb-10Mb	8219992	False
