sample	chromosome	start	end	segVal
Synthetic_Patient8	1	930198	54550171	1.01961672602218
Synthetic_Patient8	1	21185509	42051978	2.23629228716268
Synthetic_Patient8	1	28377312	33998775	3.3492234555198
Synthetic_Patient8	1	33994569	39493048	2.28526193730479
Synthetic_Patient8	1	54563285	89932355	1.04326530251739
Synthetic_Patient8	13	13249996	54550171	1.73944003812551
Synthetic_Patient8	13	84667840	114364328	2.9225483180617
Synthetic_Patient8	13	84667840	89932355	3.97613134214632
Synthetic_Patient8	13	92676343	113054665	2.95735461577801
Synthetic_Patient8	13	109610616	109619453	1.03613695344942
Synthetic_Patient8	17	2579724	32307917	1.46770643929077
Synthetic_Patient8	3	23881465	42052529	2.55224825798257
Synthetic_Patient8	3	39493048	42051978	1.03269928314502
Synthetic_Patient8	3	45227209	49590440	1.04124488365585
Synthetic_Patient8	4	92017586	144137812	1.04124488365585
Synthetic_Patient8	4	109610616	144689308	1.03613695344942
Synthetic_Patient8	5	40959415	54550171	2.55224825798257
Synthetic_Patient8	5	95213281	144689308	3.04651645789794
Synthetic_Patient8	5	95216851	154427175	2.95735461577801
Synthetic_Patient8	5	109610616	144689308	2.86866618946436
Synthetic_Patient8	5	113054665	154430085	3.17663000065947
Synthetic_Patient8	6	57042204	81008575	3.17663000065947
Synthetic_Patient8	6	109610616	144146157	2.95735461577801
Synthetic_Patient8	7	36161409	39487341	2.28526193730479
Synthetic_Patient8	7	54333990	159345973	2.5624558189155
Synthetic_Patient8	7	80999819	81008575	2.86866618946436
Synthetic_Patient8	7	92017586	112263535	1.0226210207477
Synthetic_Patient8	7	95213281	144146157	2.95735461577801
Synthetic_Patient8	7	96024675	109610616	2.86866618946436
Synthetic_Patient8	7	144682401	154430085	3.17663000065947
