MutationType	Synthetic_Patient1	Synthetic_Patient10	Synthetic_Patient2	Synthetic_Patient3	Synthetic_Patient4	Synthetic_Patient5	Synthetic_Patient6	Synthetic_Patient7	Synthetic_Patient8	Synthetic_Patient9
clustered_del_1-10Kb	0	0	0	0	0	0	0	0	0	0
clustered_del_10-100Kb	0	0	0	0	0	0	0	0	0	0
clustered_del_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
clustered_del_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
clustered_del_>10Mb	0	0	0	0	0	0	0	0	0	0
clustered_tds_1-10Kb	0	0	0	0	0	0	0	0	0	0
clustered_tds_10-100Kb	0	0	0	0	0	0	0	0	0	0
clustered_tds_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
clustered_tds_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
clustered_tds_>10Mb	0	0	0	0	0	0	0	0	0	0
clustered_inv_1-10Kb	0	0	0	0	0	0	0	0	0	0
clustered_inv_10-100Kb	0	0	0	0	0	0	0	0	0	0
clustered_inv_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
clustered_inv_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
clustered_inv_>10Mb	0	0	0	0	0	0	0	0	0	0
clustered_trans	0	0	0	0	0	0	0	0	0	0
non-clustered_del_1-10Kb	0	0	1	0	1	0	1	1	0	0
non-clustered_del_10-100Kb	1	1	0	2	1	3	1	0	0	0
non-clustered_del_100Kb-1Mb	0	1	0	0	0	0	1	1	1	0
non-clustered_del_1Mb-10Mb	1	1	0	0	1	1	0	1	2	0
non-clustered_del_>10Mb	7	8	10	9	8	12	10	5	10	12
non-clustered_tds_1-10Kb	0	1	0	0	0	0	0	0	0	0
non-clustered_tds_10-100Kb	0	0	0	0	0	0	1	0	0	1
non-clustered_tds_100Kb-1Mb	1	0	0	0	1	0	0	0	0	0
non-clustered_tds_1Mb-10Mb	0	0	0	0	1	0	1	0	0	0
non-clustered_tds_>10Mb	3	1	1	1	1	2	0	0	0	1
non-clustered_inv_1-10Kb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_10-100Kb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_100Kb-1Mb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_1Mb-10Mb	0	0	0	0	0	0	0	0	0	0
non-clustered_inv_>10Mb	0	0	0	0	0	0	0	0	0	0
non-clustered_trans	5	5	3	4	7	3	5	8	4	3
