#Id	Chromosome	Start	End	Width	Type	fractionalCopyNumber	CopyNumber	Confidence	AlleleFreq	Mask_overlap_fract	Algorithm
127	12	112263535	112266967	787698	loss	1.03613695344942	1	1	0.434333094732178	0.104815168654557	Region-based
36	4	54333990	80999819	8006183	gain	2.60492346590646	4	1	0.205930926909833	0	Region-based
43	5	92017586	170739897	14645676	gain	2.86866618946436	4	1	0.478677307889005	0	Region-based
56	5	95213281	154430085	2644082	gain	3.04651645789794	3	1	0.523258228948969	0.218540608202636	Region-based
58	5	89934475	95213281	48920961	gain	2.86866618946436	3	1	0.49019163698891	0	Region-based
26	1	54333990	92674023	2644082	gain	2.41186185381967	2	0.999999999999999	0.176377613614197	0	Region-based
49	5	88027350	89932355	3986852	gain	2.95735461577801	3	1	0.478367348741306	0	Region-based
60	7	7.08215e+07	92674023	787698	loss	1.04326530251739	1	1	0.483650358427489	0	Region-based
153	13	92676343	95213281	787698	gain	2.90713077290842	3	0.999999994917475	0.574087819828509	0	Region-based
36	5	28377312	39493048	12809060	gain	2.29510479603484	2	1	0.276124128991283	0	Region-based
8	3	54333990	80999819	10178307.5	gain	2.35275522722839	2	0.99246101773383	0.118146143581339	0	Region-based
56	6	96024675	144137812	536244	gain	2.9225483180617	3	1	0.461274159030851	0	Region-based
90	12	14568	49590440	47010716	loss	1.04326530251739	1	1	0.266146780354615	0.0204804474792513	Region-based
9	3	42052529	54550171	1092563	loss	1.46770643929077	1	0.999999999999999	0.219951173347812	0.0162454699121712	Region-based
10	3	42052529	45223687	1463319	loss	1.01961672602218	1	0.999999999999999	0.147552398017418	0.0177452187405676	Region-based
42	5	92017586	112263535	2644082	loss	1.73944003812551	2	1	0.434333094732178	0.0177452187405676	Region-based
25	1	34114989	54550171	2057474	loss	1.56009765330438	2	0.999999999999999	0.176377613614197	0.00318736589628394	Region-based
97	23	13249996	49590440	29451451	loss	1.0226210207477	1	1	0.30246173295323	0.0204804474792513	Region-based
90	13	2579724	29126411	15876415	gain	2.28526193730479	2	0.999999999999985	0.30246173295323	0.0307925072411894	Region-based
57	5	89934475	180930584	90996109	loss	1.04124488365585	1	1	0.478367348741306	0.0177452187405676	Region-based
95	23	92676343	154427175	58402500	loss	1.15669023522621	1	1	0.421654882386895	0.0177452187405676	Region-based
10	3	28377312	34114989	2155648	gain	2.28526193730479	2	1	0.205930926909833	0	Region-based
9	1	2856466	23881465	22951267	gain	2.29510479603484	2	0.999999999999999	0.488689489626151	0.0204804474792513	Region-based
59	6	96024675	144682401	16934273	gain	3.8291611634801	4	0.999999994917475	0.914580581740049	0	Region-based
25	3	40956367	40959415	5372352	gain	2.55224825798257	3	0.999999882457457	0.147552398017418	0	Region-based
96	23	14568	39487341	22951267	gain	2.60492346590646	3	1	0.488689489626151	0.0918171400112001	Region-based
57	5	92017586	159334984	126657564	loss	1.73944003812551	2	0.999999995818888	0.461274159030851	0.0177452187405676	Region-based
58	7	144689308	154427175	90996109	loss	1.01961672602218	1	1	0.461274159030851	0.104815168654557	Region-based
10	3	42052529	73804209	10178307.5	gain	2.23629228716268	2	0.999999999999999	0.147552398017418	0.00290813533576474	Region-based
