MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
clustered_del_1-10Kb	5.984744463880565e-06	5.715886892770061e-06	5.576553212314551e-06	4.273611611795336e-06	5.313111253030123e-06	5.0485998689105725e-06	6.052023668075798e-06	5.419897314121229e-06	5.596394314996856e-06
clustered_del_10-100Kb	5.984297611878135e-06	5.717930563589152e-06	5.575126603732149e-06	4.274010423089798e-06	5.313951505904525e-06	5.046392791841031e-06	6.052277035196056e-06	5.41999702197845e-06	5.597958855916855e-06
clustered_del_100Kb-1Mb	5.984371765097403e-06	5.7164648807730555e-06	5.576025710227443e-06	4.2746179485793765e-06	5.311228372184487e-06	5.0460986151283674e-06	6.050127653978804e-06	5.4193500292088055e-06	5.602597026940527e-06
clustered_del_1Mb-10Mb	5.984644239956168e-06	5.714876166595432e-06	5.573329788404713e-06	4.276606996369209e-06	5.316838226090925e-06	5.045823123010306e-06	6.0532410583001025e-06	5.419045579759e-06	5.5980699475963546e-06
clustered_del_>10Mb	5.984423477242767e-06	5.717357420650743e-06	5.5765771345423336e-06	4.272890093430244e-06	5.314286397520246e-06	5.04699594619536e-06	6.052533725064016e-06	5.418393047177929e-06	5.598519537049564e-06
clustered_tds_1-10Kb	5.9849052514837725e-06	5.717050473844053e-06	5.575677106184248e-06	4.273386588486354e-06	5.3124423161385745e-06	5.045610665955271e-06	6.049212161964113e-06	5.418710866662194e-06	5.606389955152287e-06
clustered_tds_10-100Kb	5.984811597774191e-06	5.7154676853726176e-06	5.573957262733912e-06	4.277238512257994e-06	5.314029453066813e-06	5.045524001370704e-06	6.050309179277727e-06	5.418472820336509e-06	5.602085853463467e-06
clustered_tds_100Kb-1Mb	5.985405098621189e-06	5.711275333414135e-06	5.576579336405451e-06	4.275016229302501e-06	5.3149588958908335e-06	5.0501802544879495e-06	6.049672738158723e-06	5.420100466825606e-06	5.599129797825696e-06
clustered_tds_1Mb-10Mb	5.984924188985328e-06	5.713326217722946e-06	5.573327818172264e-06	4.277755184788693e-06	5.313823659408679e-06	5.047291663382474e-06	6.052723983931618e-06	5.419199430378655e-06	5.5978570025779804e-06
clustered_tds_>10Mb	5.985026422544265e-06	5.711601021564701e-06	5.575052868128448e-06	4.2766378082155485e-06	5.318129640643578e-06	5.049461783069819e-06	6.050762874465454e-06	5.419489356409237e-06	5.596584279374758e-06
clustered_inv_1-10Kb	5.984663826119214e-06	5.715742794947132e-06	5.576065810245782e-06	4.273984481419354e-06	5.319032463646795e-06	5.048458871549418e-06	6.051570254698169e-06	5.41870368966371e-06	5.595858472771725e-06
clustered_inv_10-100Kb	5.985018282332202e-06	5.7139618262162366e-06	5.576016536587238e-06	4.274083247875362e-06	5.314767136884046e-06	5.047121011793292e-06	6.054177171795518e-06	5.419594462188577e-06	5.595522003937498e-06
clustered_inv_100Kb-1Mb	5.984687893089151e-06	5.7139960781227175e-06	5.572446152398049e-06	4.278174147708821e-06	5.311307356442131e-06	5.046461421622463e-06	6.050861285991086e-06	5.418289053184025e-06	5.603717029024332e-06
clustered_inv_1Mb-10Mb	5.984645957673531e-06	5.715893861695907e-06	5.574564048544054e-06	4.275388552196811e-06	5.313160402704492e-06	5.045856967372173e-06	6.053366920063011e-06	5.418365596873162e-06	5.598417392419396e-06
clustered_inv_>10Mb	5.9845782448686955e-06	5.716667255630013e-06	5.576055762956807e-06	4.273752880703594e-06	5.311981237578948e-06	5.046973228986146e-06	6.054446748576744e-06	5.421201273046388e-06	5.595565743221405e-06
clustered_trans	5.984734196208319e-06	5.715243626150005e-06	5.575916075814281e-06	4.2734877826611945e-06	5.314592612803735e-06	5.046707549155203e-06	6.051388832586994e-06	5.418710111493811e-06	5.601444433810089e-06
non-clustered_del_1-10Kb	0.002479599737392652	0.021505631817548193	0.005151239026852764	0.004095667296123354	0.15076175276943435	0.009267627728011249	0.013769263927385334	0.013703875906315024	0.07589543519300733
non-clustered_del_10-100Kb	0.004747342648510882	0.014653776743425388	0.027667219602358458	0.3885839269530624	0.022134018692520657	0.01105451754972458	0.017626875810114354	0.011700439781003961	0.0195120533761985
non-clustered_del_100Kb-1Mb	0.0046838535780734285	0.08254247010055281	0.0030590889697666972	0.008838607769518286	0.035371985439342016	0.045010455956196224	0.04111736617458186	0.01892773920228682	0.042890993003613535
non-clustered_del_1Mb-10Mb	0.007827258868578987	0.015974164138213263	0.01945206570156916	0.016132591488659975	0.031039730320477032	0.30518048174885265	0.03689615309689884	0.008126948396277037	0.012897162632120143
non-clustered_del_>10Mb	0.9076645402014255	0.36607867522264237	0.35034746783147014	0.372573796866506	0.17172198884004153	0.36121455373465444	0.11406284308901579	0.6056485571786762	0.6590858942307531
non-clustered_tds_1-10Kb	0.0014653853242159863	0.016371626428937306	0.007233667454627667	0.007702006529966172	0.006509058917187545	0.01649519784259438	0.009008388898129325	0.008275530104830068	0.010124166262226317
non-clustered_tds_10-100Kb	0.013580625087154118	0.016771984625015727	0.0036495654116467037	0.003958231853851787	0.015548010835998704	0.0017237980241349249	0.003971711497912927	0.0688143165630533	0.022755336338513794
non-clustered_tds_100Kb-1Mb	0.0016340482877376635	0.013254908620081884	0.03297129810801272	0.008714852335242298	0.04065998373502043	0.016763655715218054	0.014828730683496431	0.010959039874459325	0.008686614417961607
non-clustered_tds_1Mb-10Mb	0.0026533364997950947	0.02251295896406573	0.004097494448215022	0.01107895138600108	0.04654681672900894	0.010683755481478844	0.009988126212699741	0.01919827205410602	0.02418493070357812
non-clustered_tds_>10Mb	0.014687557268950243	0.015252216926446814	0.38871771675694256	0.04252257768288058	0.019333325078444288	0.014274461953009533	0.019263205787170258	0.021429395762893513	0.031001749846419572
non-clustered_inv_1-10Kb	5.984981657230411e-06	5.715124909733831e-06	5.57504556270216e-06	4.274333335910598e-06	5.313212094955055e-06	5.0470340682454935e-06	6.0510713902556525e-06	5.4192840293034795e-06	5.602129262506937e-06
non-clustered_inv_10-100Kb	5.9847674801697815e-06	5.714114668850124e-06	5.574614403807734e-06	4.276112580274446e-06	5.313254408986794e-06	5.04717094729487e-06	6.051801918131322e-06	5.419213079681207e-06	5.599220365784286e-06
non-clustered_inv_100Kb-1Mb	5.98484020397752e-06	5.713738992957097e-06	5.577009617788719e-06	4.273931096792811e-06	5.314126599705169e-06	5.047657349168615e-06	6.04843926152185e-06	5.420049625440946e-06	5.601712106281289e-06
non-clustered_inv_1Mb-10Mb	5.984268407825613e-06	5.7176242786566965e-06	5.572528358653622e-06	4.2765825201022224e-06	5.313331921149873e-06	5.04467266814876e-06	6.05196830605162e-06	5.419515206662284e-06	5.601167385866329e-06
non-clustered_inv_>10Mb	5.984642843518876e-06	5.716215348064756e-06	5.574505693941099e-06	4.274984366438162e-06	5.311889487016673e-06	5.046121080965584e-06	6.049618236555007e-06	5.419202942976688e-06	5.605517415105751e-06
non-clustered_trans	0.03845077170861771	0.4149615635798195	0.15753610466650064	0.13570901211631792	0.46026173379195506	0.2082255054344297	0.7193402532935143	0.21310207864209071	0.0928480742286733
